"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/mu0713954261","mu0713954261","Presentación de Jefatura Zonal de la ACHS a la Alcaldía de Cunco","ALCALDIA","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad008201","ad008201","LOS REPRESENTANTES DE LA EMPRESA ROLLER GROUP LTDA., REALIZARON LA PRESENTACIÓN DE LOS PRODUCTOS QUE OFRECEN LAS COMPAÑÍAS EUROPEAS:  LAN FRANCO, SEFAC DE FRANCIA Y GRUPOS DIFERENCIALES DE ESPAÑA, LA PRIMERA EMPRESA PROVEE DE REPUESTOS, EQUIPOS E INSUMOS INDUSTRIALES, EN SECTOR DE DEFENSA., LA SIGUIENTE EMPRESA OFRECE PERNERIA Y TUERCAS AUTOBLOCANTES DE SEGURIDAD, A LAS CUALES SE LES INDICÓ QUE PARA NUESTRA INSTITUCIÓN NO ES APLICABLE, YA QUE TODOS ESTOS ELEMENTOS DEBEN SER  VALIDADOS Y CONTAR CON Nº OTAN,  EN RELACIÓN A LA EMPRESA QUE OFRECE EQUIPOS DE LEVANTAMIENTOS, SE LE SOLICITÓ ENTREGAR INFORMACIÓN PARA  CUALQUIER REQUERIMIENTO  QUE SE PUDIESE TENER.","Pedro Aguirre Cerda 5500 Cerrillos Cdo. Logístico","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0021211","nr0021211","LEGALIDAD DEL PROCEDIMIENTO DE REAVALÚO DEL AÑO 2013 - 2014 POR FALTA DE FUNDAMENTACIÓN.","CONTRALORÍA GENERAL DE LA REPÚBLICA","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0021321","nr0021321","RECONOCIMIENTO DE PLAZOS Y OBRAS EN LA COMUNA DE SANTIAGO","CONTRALORÍA GENERAL DE LA REPÚBLICA","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0021391","nr0021391","DENUNCIA DE EVENTUALES IRREGULARIDADES EN EL PROCEDIMIENTO DE ENTREGA DE RECURSOS A LOS CUERPOS DE BOMBEROS Y RENDICIONES DE CUENTA CORRESPONDIENTES AL DE CALERA DE TANGO.","CONTRALORÍA GENERAL DE LA REPÚBLICA","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051231","nr0051231","Dar a conocer la marcha de la fundación, del Hogar Betania ubicado en Pucón y del Hogar Pablo VI ubicado en San Felipe. Conocer el panorama legislativo relativo a las materias de cuidado de los niños que son los ocupantes de estos hogares, esto es, niños cuyos derechos han sido vulnerados.","Miraflores 222 Piso 7","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051261","nr0051261","Invitación a participar en próximo Seminario Internacional Residuos en Chiley la solicitud de contactos con países de América Latina","Senado","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051271","nr0051271","Reforma Educacional. Presentación de planteamientos de CONACEP sobre la reforma educacional.","Ex-Congreso Nacional","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051281","nr0051281","Problemática asociada a Bocamina 2 en la Comuna de Coronel Región del Bio Bio.","Senado","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051311","nr0051311","Modificación Ley de Educación","Oficina Regional Senador Coloma","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051321","nr0051321","Estado actual de la evolución del proceso para conformar un Área Marina Protegida en Isla de Pascua.","Oficina Del Senador En El Congreso Nacional.","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051361","nr0051361","TRATAR TEMAS RELACIONADOS AL CÓDIGO DE AGUAS","Oficinas Sna Santiago","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051491","nr0051491","Exponer las razones que fundamentan la oposición de los agricultores de la comuna de Bulnes al proyecto termoeléctrico ""El Campesino""","Sede Parlamentaria Concepción","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005671","nr005671","Proyecto de Ley sobre Creación de una Intendencia de Supervision y control de la informacion financiera y exigencia de certificacion integral complementaria a la auditoria externa.-","Guardia Vieja 392","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005681","nr005681","Proyecto Reforma Laboral ""Ley de Piso""- Solicitud de Legislar Ley de Piso- - Revisar Art. Cuarto del CÃ³digo del Trabajo- Generar Proyecto de Ley de dicho ArtÃ­culo","Senado Congreso Nacional","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005721","nr005721","sobre radiodifusores de la región de Antofagasta respecto de la ley del 20% de la música chilena en las radioemisoras","Senado","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005741","nr005741","Realizada el 15 de diciembre de 2014 a las 11:00 horas. Indicacion Pesca Descarte","Senado","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005791","nr005791","Propuestas sobre Reforma Educacional  de Educación 20 y 20","Morande 441","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005951","nr005951","La empresa ha desarrollado un proceso de participación ciudadana anticipada, presentando el proyecto tanto a autoridades regionales como a la comunidad, con el objetivo de que todos los actores involucrados conozcan en detalle el proyecto.","Independencia N°625, Piso 2","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6011","nr006ar6011","Entrega de información de estado del suministro de agua potable en la región de Coquimbo.","La Serena, Región de Coquimbo","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6031","nr006ar6031","Los representantes de GNL Chile tienen interés en conversar con usted para informarlo sobre la actividad de la empresa, el mercado internacional del GNL, la operación del terminal GNL Quintero y el proceso de oferta de nueva capacidad de regasificación y suministro de GNL que se encuentra en curso. Lo anterior en el contexto de la Agenda de Energía que ha definido el gobierno donde el GNL ha adquirido especial relevancia.","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2014,4
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6471","nr006ar6471","Entrega de información de estado del suministro de agua potable en la región de Valparaíso","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2014,4
