"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051371","nr0051371","El interesado es atendido por el equipo de asesores de la Senadora, debido a urgencias que requirieron la presencia de ella.tenor de la reunión. Presentación de empresa sobre implementación cabinas para fumadores, que impiden el traspaso del humo a los ambientes comunes.  Solicita modificación de la ley de tabaco con la finalidad de que se puedan implementar tales instalaciones.El interesado reconoce ser representante legal en Chile de la empresa Qleanair-Chile limitada.","Sede Del Congreso Nacional","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051871","nr0051871","Revitalización de Valparaíso","Comite Independiente Mas, Piso 2 Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051881","nr0051881","Innovación Tecnológica, Reducción de Residuos, Energía, I+D","Comite Independiente Mas, Piso 2 Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051921","nr0051921","Entregar información de la Fundación","Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051961","nr0051961","Tratar temas sobre Leasing, en mejoramiento de calidad y cantidad, respecto a la última ley de presupuesto 2015.","Sede Del Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051981","nr0051981","Proyecto de ley de fortalecimiento del Ministerio Público.","Oficina Del Senador En El Congreso Nacional.","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051991","nr0051991","Participación de la Iglesia Evangélica en iniciativas sociales con financiamiento del Estado.","Sede Parlamentaria Concepción","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052111","nr0052111","Didymo","Oficina Senador Horvath, Piso 9","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052171","nr0052171","Martes 10 de marzo a las 12:30 horas","Senado Valparaã­So","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052261","nr0052261","14-01-2015, 12:00 horas","Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005901","nr005901","PRESENTACION DE TECNOLOGIA QUE PERMITE QUE PUEDAN CONVIVIR PERSONAS QUE FUMAN Y NO FUMAN, PROTEGER EL MEDIO AMBIENTE LIBRE DE HUMO.","Senado En Valparaiso","Ninguna de las anteriores. - ",2015,1
