"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj01126821","aj01126821","Solicita audiencia con el D.R. para conocer el estado de avance de resoluciones que están en proceso.","Dirección Regional SIE","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ak00124001","ak00124001","Entrega de carta a Seremi de Justicia, hacer presente los problemas al interior del CIP CRC motivados por el traslados de jóvenes infractores de ley desde Puerto Montt; conflictos con Directora Regional de Sename","Sala de Conferencias - Seremi de Justicia, Independencia 535, piso 3","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/al00114551","al00114551","Trabajador eventual de Carga y descarga de Zona Franca realiza curso de seguridad de ISL, el cual no lo acredita para recibir o renovar la credencial entregada por Zofri SA. Para realizar este trabajo en recinto amurallado.?Solicita firma y timbre del Ser","Seremi Trabajo y Previsión Social","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/am0017381","am0017381","acceso al Embalse Los Aromos, accesibilidad de los comuneros al bien común N°8 de la ex parcelación La Victoria, sector de Tabolango comuna de Limache.","Gabinete Ministro","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ap00121781","ap00121781","Comite Habitacional Doña Blanca de Maule solicita respuesta sobre modificacion de un articulo","Oficina seremi","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/av0016421","av0016421","Presentaron proyecto de publicación de un libro, producto de años de investigación sobre las artesanías creadas por presos políticos en tiempos de la dictadura. El libro podría ser usado en Educación de los derechos humanos. Compromisos:  - Consultar en el Fondo Nacional de Fomento del Libro y la Lectura por las adquisiciones de libros,  - explorar posibilidad de asignación directa, - revisar las bases del Fondo Nacional de Fomento del Libro y la Lectura.","Ahumada 11, piso 10, Santiago","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aw00233861","aw00233861","Presentación Modificaciones al Proyecto Hidroeléctrico San Pedro_Representante de Cobul, informa a la autoridad de que harán ingreso a la Dirección Regional de SEA, del proyecto hidroeléctrico San Pedro, dentro de las próximas semanas.","Sala de Reuniones SEREMI del Medio Ambiente, calle Carlos Anwandter 466, Valdivia","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ak0052744341","ak0052744341","Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.","Oficina Defensor Nacional, Alameda Bernardo O´higgins N° 1449, piso 8","Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/as004563041","as004563041","Reunión para tratar los Temas de Tranques Planta Matta y Planta Vallenar","Ohiggins 340","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0054401","nr0054401","Presentación de proyecto de tratamiento y disposición de residuos sólidos y asimilables en Antofagasta.","Morandé 441, Senado Santiago","Ninguna de las anteriores. - ",2015,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/ak0052744351","ak0052744351","temas gremiales (Conclusiones primer consejo nacional ANFUD)","Sala de Consejo Defensoría Nacional","Ninguna de las anteriores. - ",2015,2
