año ;trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2019;4;ab001358223;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);03-10-2019;Regalo cortesía
2019;4;ab001359263;Caja con productos gourmet;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);10-10-2019;Regalo cortesía
2019;4;ab001360433;Caja de Chocolates;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);17-10-2019;Regalo cortesía
2019;4;ab017360023;RELOJ DECORATIVO DE MADERA (COMUNA DE LOS ALAMOS), GALVANO DE VIDRIO (COMUNA RÍO NEGRO), LAPICERO EN CAJA Y BOLSA DE CARTON DE LA COMUNA DE PUNTA ARENAS, GALVANO DE VIDRIO (COMUNA DE INDEPENDENCIA), GALVANO DE MADERA (COMUNA DE ALTO HOSPICIO), GALVANO DE VIDRIO COMUNA DE SAN CLEMENTE), GALVANO DE VIDRIO (COMUNA LA CALERA), 2 CUADRO CON PAISAJE SUREÑO Y 2 LIBROS DE COYHAIQUE, 2 RETABLOS EN FORMA DE BOTELLAS CON FOTO DE ARICA CON DESTAPADOR DE BOTELLAS (COMUNA DE ARICA), GALVANO DE MADERO (COMUNA DE LOS LAGOS).;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;15-10-2019;"CAMPEONATO NACIONAL DE CUECA INFANTIL ""PAMPA Y MAR"" VERSIÓN 2019"
2019;4;ab017360343;COPA DE VIDRIO CON LOGOTIPO INSTITUCIONAL DE CARABINEROS DE CHILE;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2019;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES
2019;4;ab017360353;BOTELLA DE VINO MARQUES DE CASA CONCHA CARMENERE CON SET DE DESCORCHE;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2019;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES
2019;4;ab017360363;2 BOTELLAS DE VINO TINTO VIÑA APALTAGUA MAS SET DE DESCORCHE;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2019;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES
2019;4;ab017360373;SET JUEGO DE COPAS Y BOTELLA DE VIDRIO PARA VINO;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2019;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES
2019;4;ab017360383;LAPICERA PARKER;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;16-10-2019;CUMPLEAÑOS SR. INTENDENTE REGIONAL DE TARAPACÁ DON MIGUEL ÁNGEL QUEZADA TORRES
2019;4;ab017364703;BOTELLA DE VINO 750 CC RESERVA MALBEC SALENTEIN;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;09-12-2019;SALUDO PROTOCOLAR
