Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2019;3;ab001345763;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);12-07-2019;Regalo cortesía
2019;3;ab001349343;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);06-08-2019;Regalo cortesía
2019;3;ab001354393;Medalla conmemorativa;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);06-09-2019;Regalo por visita a la Municipalidad
2019;3;ab001357223;Bandera;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);26-09-2019;Regalo cortesía
2019;3;ab002346053;Gallina;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);17-07-2019;Audiencia
2019;3;ab002347873;Cuadro pequeño;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);05-07-2019;Audiencia protocolar en gabinete
2019;3;ab002347893;Bolsa ecológica, reloj, lápiz, taza e imán con logo comuna de Quillón;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);25-07-2019;Saludo protocolar
2019;3;ab002349143;5 frascos de mermelada más bolsa ecológica con logo Comuna de 0lmué;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);05-08-2019;Recibido por la secretaría de la SUBDERE
2019;3;ab002352183;Lápiz;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);26-08-2019;Audiencia en Gabinete
2019;3;ab002353243;Poncho;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);30-08-2019;Visita Protocolar del Subsecretario a la Comuna de Los Muermos
2019;3;ab004358093;LIBRO;María Alejandra Riquelme Reyes;AB0043197;OFICINA NACIONAL DE EMERGENCIA (ONEMI);ab004;Directora Regional OHiggins;02-09-2019;VISITA DEL ALCALDE DE MIRAFLORES - PERU A LA COMUNA DE PICHILEMU
2019;3;ab010350513;"Libro ""El Rugby un juego de valores""";Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);30-07-2019;saludo protocolar directiva clñub Rugby
2019;3;ab010357553;galbano;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);26-09-2019;por su participación en el encuentro binacional de alcaldes y concejales.
2019;3;ab010364633;"Libro ""Historia del rodeo chileno"" tomo II";Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);18-09-2019;Agradece gestión y apoyo a sus tradiciones en especial al Deporte Nacional El Rodeo chileno
2019;3;ab016357003;Sombrero Artesanal de Huaso;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);29-08-2019;Inauguracion Conjunto Habitacional Nueva Ciudad Graneros
2019;3;ab016357023;Bajada de cama cuero de oveja;Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);28-08-2019;Audiencia
2019;3;ab017345493;"1 LIBRO ""LA REGENTA"", EDICIONES NOBEL. 3 LATAS DE PATE GOURMET MARCA ""TIERRA ASTUR""";Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;01-07-2019;VISITA DE LA DELAGAIÓN DEL PRINCIPADO DE ASTURIAS A TARAPACÁ
2019;3;ab017352903;MANTA ARTESANAL DE HILO COLOR ROJO Y NEGRO, BOTELLA 750 CC VINO TINTO DE SALTA ARGENTINA.;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;29-08-2019;SALUDO PROTOCOLAR
2019;3;ab017356443;DOS (2) JUEGOS DE TERMOS FORRADOS EN CUERO NATURAL, MAS MATERO FORRADO EN CUERO NATURAL Y BOMBILLA METALICA;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;24-09-2019;SALUDO PROTOCOLAR
2019;3;ab051345483;40 entradas de cortesia;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);10-07-2019;partido A. F. Vial vs Arica
2019;3;ab051345993;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);17-07-2019;Partido A.Fernandez Vial vs Coquimbo
2019;3;ab051346513;10 entradas de cortesía;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);19-07-2019;partido Deportes Concepción vs Unión Compañias
2019;3;ab051347233;40 entradas de cortesia;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);24-07-2019;partido A.F.Vial vs Cauquenes
2019;3;ab051348893;40 entradas de cortesia;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);02-08-2019;partido Huachipato - Palestino
2019;3;ab051349663;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);08-08-2019;partido A.F.Vial vs Recoleta
2019;3;ab051351303;32 entradas de cortesia;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);22-08-2019;partido A:F: Vial vs Colchagua
