Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2019;2;ab001330643;Cuatro libros;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);01-04-2019;Regalo cortesía
2019;2;ab001331723;Caja de adorno;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);09-04-2019;Regalo cortesía
2019;2;ab001331963;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);10-04-2019;Regalo cortesía
2019;2;ab001332353;Adorno en pedestal;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);11-04-2019;Regalo cortesía
2019;2;ab001332723;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);16-04-2019;Regalo cortesía
2019;2;ab001333703;Camiseta Selección Chilena;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);23-04-2019;Regalo cortesía
2019;2;ab001341293;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);10-06-2019;Regalo cortesía
2019;2;ab001343463;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);26-06-2019;Regalo cortesía
2019;2;ab001337163;Juegos de Cachos;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);10-05-2019;Regalo cortesía
2019;2;ab002331513;Réplica en miniatura de satélite Chino;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);08-04-2019;Alcalde & Cia Abogados (Soc. Inv. Aes. y Consultoria)
2019;2;ab002333653;Pin de la Asociación de Municipalidades del Punilla, longaniza de San Carlos y revista de San Fabián;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);17-04-2019;Obsequio entregado a la secretaría de la SUBDERE
2019;2;ab002343573;LIBRO;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);25-06-2019;Audiencia de saludo protocolar
2019;2;ab002343583;LIBRO;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);25-06-2019;Audiencia en gabinete
2019;2;ab006336233;Libro O'Higgins;Raúl García Aspillaga;AB00687505;SERVICIO ELECTORAL (SERVEL);ab006;Jefe(a) de servicio;07-05-2019;Edición de trabajo en conjunto entre Universidad Finis Terrae y Ejército de Chile
2019;2;ab010334433;galvano;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);29-04-2019;Saludo protocolar Gral. de Ejército por aniversario Gobierno Regional
2019;2;ab010336693;Un banderín yn un galvano;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cueca Región del Maule, que vienen e encuentro nacional a la región de Aysén
2019;2;ab010336703;un aresanía. Un indio cn un árbol;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336713;un galvano;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336723;un cuadro con una fotografía de los campeones de cuenca 2019;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336743;un collar típico de Isla de Pascua;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336753;Revista y fotos antiguas Renca;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336763;y reloj y un libro de la ciudad de Puerto Montt;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336773;un cuadro con cerámica de la región;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336783;un cuadro de yeso regional;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab010336793;un cuadro;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);10-05-2019;saludo protocolar parejas de cuecas nacionales que vienen a encuentro nacional a la región de Aysén
2019;2;ab011381673;Cuadro;Lucía Pilar Pinto Ramírez;AB011173234;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Intendente(a);06-05-2019;Aniversario Paso del Ejercito Libertador por la comuna de Monte Patria
2019;2;ab011381683;Cuadro;Lucía Pilar Pinto Ramírez;AB011173234;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Intendente(a);31-05-2019;Cuenta Publica 2018
2019;2;ab011381703;Galvano;Lucía Pilar Pinto Ramírez;AB011173234;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Intendente(a);15-05-2019;Día Nacional de Pisco
2019;2;ab016330733;"Libro""Chile Rodeo"" 70 años edicion aniversario / 2 abonos Champion";Juan Manuel Masferrer Vidal;AB016173968;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente(a);01-04-2019;Saludo protocolar
2019;2;ab017335273;GALVANO DE RECONOCIMIENTO DE MADERA COLOR CAFE NATURAL;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;30-04-2019;CONMEMORACIÓN DÍA INTERNACIONAL DEL TRABAJADOR
2019;2;ab017335993;GALVANO COLOR PLATEADO EN FORMA DE VASIJA, CON INSCRIPCIÓN EN EL FONDO.;Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;06-05-2019;VISITA PROTOCOLAR
2019;2;ab017338593;"LIBRO: ""ATLAS DE BIENESTAR TERRITORIAL 2019""";Miguel Angel Quezada Torres;AB017172833;INTENDENCIA REGIÓN DE TARAPACÁ;ab017;Intendente;27-05-2019;"VISITA DEL DIRECTOR DE CORPORACIÓN ""CIUDADES"" SR. JUAN MANUEL SANCHEZ"
2019;2;ab019331323;adorno colgante;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);04-04-2019;comida con delegacion China
2019;2;ab022340803;ADORNO;Mirtha Patricia Arancibia Cruz;AB022174770;GOBERNACIÓN PROVINCIAL DE ARICA;ab022;Gobernador(a);03-06-2019;Presente entregado en forma de agradecimiento
2019;2;ab046342543;Miel;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);18-06-2019;visita a gobernación.
2019;2;ab046337593;BOTELLA DE BOURNET - CORBEAU ROBLE;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);26-04-2019;Inauguración de la obra conmemorativa a la ONG Comisión Paso Pehuenche
2019;2;ab046337603;BOTELLA DE VINO CASA DONOSO;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);10-05-2019;REGALO. LO DEJARON EN GOBERNACION
2019;2;ab046339983;Carcasa con imán para celular y lapicero.;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);29-05-2019;Reunión con Representantes de Empresa Telefónica del Sur.
2019;2;ab051330693;77 entradas de cortesía;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);02-04-2019;Partido U. de Concepción vs Godoy Cruz
2019;2;ab051331173;40 entradas de cortesia;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);04-04-2019;Partido A.F.Vial vs Lautaro de Buin
2019;2;ab051333173;72 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);17-04-2019;partido U.de Concepción vs Iquique
2019;2;ab051333833;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);25-04-2019;partido AF: Vial vs General Velasquez
