Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2017;3;ab001198413;1 caja de dátiles;Mahmud Aleuy Peña y Lillo;AB001431;SUBSECRETARÍA DEL INTERIOR;ab001;Subsecretario(a);12-07-2017;Reconocimiento
2017;3;ab002201183;Revista de la Cámara de Comercio de Santiago, Julio 2017;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);24-07-2017;Cortesía enviada por correo.
2017;3;ab002202613;Invitación para 2 personas Concierto de Diego Torres, Centro de Eventos Gran Arena Monticello.;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);11-08-2017;Cortesía enviada por correo.
2017;3;ab002203993;Revista de la Cámara de Comercio de Santiago, Agosto 21017;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);23-08-2017;Cortesía enviada por correo.
2017;3;ab002209153;Revista de la Cámara de Comercio de Santiago, Septiembre 21017;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);21-09-2017;Cortesía enviada por correo.
2017;3;ab002210033;2 Invitaciones a Expo Edifica: Feria Internacional de la Construcción Chile 2017;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);27-09-2017;Cortesía enviada por correo.
2017;3;ab002197293;Galvano mediano de acrílico;NEMESIO ARANCIBIA TORRES;AB002903;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Jefe División de Municipalidades, Subsecretario Subrogante.;04-07-2017;Audiencia de lobby solicita por la Federación Nacional Trabajadores Municipales
2017;3;ab010203763;una caja de chocolates y un llavero;Sandra Peñaloza Villarroel;AB010107165;INTENDENCIA REGIÓN DE AYSÉN;ab010;Jefe(a) de Gabinete;21-08-2017;Celebración día del Funcionario de Gobierno Interior
2017;3;ab010203733;medalla;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;21-08-2017;"Celebración ""Día el funcionario de Gobierno Interior"""
2017;3;ab010203743;"Libro ""Museo Histórico Carabineros de Chile""";Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;21-08-2017;"Saludo protocolar Carabineros de Chile por ""Día del Funcionario de Gobierno Interior"""
2017;3;ab010203753;Ramo de Flores;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;21-08-2017;"Celebración ""Día del Funcionario de Gobierno Interior"""
2017;3;ab010204293;Libro;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;24-08-2017;Remite por carta reafirmando compromiso con el desarrollo sustentable de la Compañía y de las comunidades donde está AGROSUPER
2017;3;ab010204753;Libro;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;25-08-2017;Informa conjunto de orientaciones técnicas que desde el año 2007 a 2016 han sido elabordas e impartidas por el Servicio civil
2017;3;ab010205263;Libro;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;29-08-2017;Edición sobre países en donde está presente le Empresa Gas Natural Fenosa
2017;3;ab010211613;Una caja de bombones;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;29-09-2017;saludo por cumpleaños Intendenta
2017;3;ab010211623;LIBRO Y CD;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;29-09-2017;SALUDO CON MOTIVO DE CUMPLEAÑOS DE SRA. INTENDENTA
2017;3;ab010211633;Flores y chocolates;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;29-09-2017;Saludo por cumpleaños Sra. Intendenta
2017;3;ab011206793;Botella de Pisco;Sebastián Andrés Santander Guzmán;AB01161570;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Jefe(a) de Gabinete;04-09-2017;IMPAC4
2017;3;ab012203663;ADORNO COLGANTE;Nora Eliana Barrientos Cardenas;AB012126308;INTENDENCIA REGIÓN DE LA ARAUCANÍA;ab012;Intendente(a);18-08-2017;Primera Piedra APR, sector Huellanto, comuna de Gorbea.
2017;3;ab015214103;Adorno de tres gorras en base de madera.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2017;Aniversario Independencia Nacional y Glorias del Ejército
2017;3;ab015214113;Bandera Institucional de escritorio con mástil de madera.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2017;Aniversario Independencia Nacional y Glorias del Ejército
2017;3;ab015214123;Adorno Naval, escotilla sobre base de madera.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2017;Aniversario Independencia Nacional y Glorias del Ejército
2017;3;ab015214133;Medalla institucional sobre base de madera.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2017;Aniversario Independencia Nacional y Glorias del Ejército
2017;3;ab015214143;Bandera Institucional de escritorio con mástil de madera.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2017;Aniversario Independencia Nacional y Glorias del Ejército
