Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab002310653;BOTELLA DE VINO;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);24-12-2018;RECEPTADO POR OFICINA DE PARTES;;;
2018;4;ab002311623;BOTELLA DE PISCO BOU - BARROETA;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);26-12-2018;AUDIENCIA EN GABINETE;;;
2018;4;ab002302773;"LIBRO TITULADO ""PUEBLOS ANDINOS -ARICA Y PARINACOTA";Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);19-10-2018;GIRA PROTOCOLAR REGIÓN DE ARICA Y PARINACOTA;;;
2018;4;ab002302783;LONGANIZAS AHUMANDAS DE CHILLÁN;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);15-11-2018;AUDIENCIA EN GABINETE;;;
2018;4;ab002302893;CAJA DE CHERRIES;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);26-11-2018;AUDIENCIA EN GABINETE;;;
2018;4;ab010293983;una caja con productos argentinos;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);17-10-2018;Encuentro Binacional con Argentina;;;
2018;4;ab010293993;Un libro un una carpeta con postales de la localidad de Ushuaia;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);17-10-2018;Encuentro Binacional Chile - Argentina;;;
2018;4;ab010294003;Libro y una botella de vino Argentino;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);17-10-2018;Encuentro Binacional Chile - Argentina;;;
2018;4;ab010294013;un libro y una botella de vino Argentino;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);17-10-2018;Encuentro binacional Chile - Argentina;;;
2018;4;ab010296603;Artesanía. Reproducción tesoro nacional de Corea;Geoconda Navarrete Arratia;AB010172722;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente(a);31-10-2018;Saludo protocolar Embajador Corea en chile Sr. In-gyun Chung;;;
