Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2015;3;ab00123763;Libro;Mahmud Aleuy Peña y Lillo;AB001431;SUBSECRETARÍA DEL INTERIOR;ab001;Subsecretario(a);03-08-2015;dar a conocer la colaboración público-privada  para la preservación de parques en Tierra del Fuego
2015;3;ab00121373;23 Libros;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);08-07-2015;Regalo, Editorial Universidad Diego Portales
2015;3;ab00121393;"Libro ""Estrategias y Procesos de Política Exterior en Estados Unidos""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);08-07-2015;Invitación al Lanzamiento del libro
2015;3;ab00122863;Libro, Estudios Públicos N°138 Otoño 2015;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);15-07-2015;regalo
2015;3;ab00123173;"Libro ""La Nueva Élite, La transición evolutiva de la sociedad Chilena""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);21-07-2015;regalo
2015;3;ab00123883;"Libro: ""Laudato si""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);28-07-2015;Regalo del Rector de la Universidad Católica de Chile
2015;3;ab00124383;"Libro: ""Parque Nacional Yendegaia";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);29-07-2015;regalo
2015;3;ab00125023;"Libro: ""Cultura Chinchorro: Del silencio a la Eternidad""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);30-07-2015;Regalo
2015;3;ab00125453;Carpeta, llavero, bolígrafo, pendrive;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);31-07-2015;Regalo
2015;3;ab00127193;"Libros: "" La Tiranía de la Igualdad"" y ""La Economía no Miente""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);18-08-2015;Invitación a Conferencias
2015;3;ab00128073;Libro: Canadá;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);21-08-2015;Regalo
2015;3;ab00130983;folleto mas bufanda;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);01-09-2015;regalo
2015;3;ab00134293;Botella de Vodka;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);14-09-2015;Fiestas Patrias
2015;3;ab00134993;Dos vinos;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);16-09-2015;Fiestas Patrias
2015;3;ab00135503;"Libro: ""Chile, una despensa al sur del mundo""";Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);21-09-2015;Expo Milán
2015;3;ab00139743;Libro;Jorge Alfonso Burgos Varela;AB0014534;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);30-09-2015;Regalo
2015;3;ab00121203;"Libro ""La Carretera Austral""";Nicolás Muñoz Montes;AB0016058;SUBSECRETARÍA DEL INTERIOR;ab001;Jefe se Asesores Ministerio del Interior;07-07-2015;Regalo 
2015;3;ab00124403;"Libro: "" Parque Nacional Yendegaia""";Nicolás Muñoz Montes;AB0016058;SUBSECRETARÍA DEL INTERIOR;ab001;Jefe se Asesores Ministerio del Interior;29-07-2015;Regalo
2015;3;ab00129933;Chocolates;Nicolás Muñoz Montes;AB0016058;SUBSECRETARÍA DEL INTERIOR;ab001;Jefe se Asesores Ministerio del Interior;31-08-2015;regalo
2015;3;ab00129943;Libro;Nicolás Muñoz Montes;AB0016058;SUBSECRETARÍA DEL INTERIOR;ab001;Jefe se Asesores Ministerio del Interior;19-08-2015;Audiencia
2015;3;ab00127933;libro ECU Servicio Integrado de Seguridad 911;Lucía  Dammert Guardia;AB0016059;SUBSECRETARÍA DEL INTERIOR;ab001;Jefa de Asesores Subsecretaria de Interior;20-08-2015;Audiencia para tratar CONVENIO BILATERAL ENTRE CHINA Y CHILE EN EL TEMA DE SEGURIDAD CIUDADANA.
2015;3;ab00220813;Revista de la Cámara de Comercio de Santiago, Junio 2015;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);02-07-2015;Cortesía enviada por correo
2015;3;ab00221143;Revista Induambiente N° 134;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);06-07-2015;Cortesía enviada por correo
2015;3;ab00222343;Memoria Anual 2014, Junta Nacional Bomberos de Chile;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);13-07-2015;Cortesía enviada por correo.
2015;3;ab00223673;Revista HSEC Magacine;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);27-07-2015;Cortesía enviada por correo
2015;3;ab00226033;Revista América Economía N° 108;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);04-08-2015;Cortesía enviada por correo
2015;3;ab00226043;Revista de la Cámara de Comercio de Santiago, Julio 2015;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);04-08-2015;Cortesía enviada por correo
2015;3;ab00227083;Revista Defensa Global N° 10;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);17-08-2015;Cortesía enviada por correo
2015;3;ab00227783;Revista de la Cámara Oficial Española de Comercio de Chile;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);19-08-2015;Cortesía enviada por correo.
2015;3;ab00228403;Revista Induambiente N° 135;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);24-08-2015;Cortesía enviada por correo.
2015;3;ab00231003;Revista En Concreto N° 148, Agosto 2015;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);01-09-2015;Cortesía enviada por correo
2015;3;ab00234303;Manual del Concejal;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);14-09-2015;Cortesía enviada por correo
2015;3;ab00234313;Ley N° 18.695;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);14-09-2015;Cortesía enviada por correo
2015;3;ab00234323;Guía de los Recursos Hídricos para Municipios ;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);14-09-2015;Cortesía enviada por correo
2015;3;ab00234343;Manual conociendo el Estado;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);14-09-2015;Cortesía enviada por correo
2015;3;ab00236653;Memoria Anual e Informe de Sostenibilidad 2014;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);24-09-2015;Cortesía enviada por correo
2015;3;ab00236673;Informe Anual e Informe de Sostenibilidad 2014;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);24-09-2015;Cortesía enviada por correo
2015;3;ab00237793;Invitación función de gala de la ópera Caballería Rústica/Pagliacci;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);28-09-2015;Cortesía enviada por correo
2015;3;ab01024593;Libro;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;29-07-2015;Saludo Protocolar que realizó Directora Nacional INE, Sra. Ximena Clark Nuñez
2015;3;ab01026273;"Libro ""Armada de Chile""";Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;07-08-2015;Saludo Protocolar  Comandante V zona Naval - Gobernación Marítima de Aysén
2015;3;ab01027653;Galvano en madera;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;20-08-2015;Día del Funcionario del Gobierno Interior
2015;3;ab01027663;Cuadro de madera;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;20-08-2015;Día del Funcionario de Gobierno Interior
2015;3;ab01028663;Reloj para Escritorio y lápicera;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;24-08-2015;Saludo Protocolar
2015;3;ab01035593;libros;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;21-09-2015;Saludo protocolar Director Nacional INIA, Sr. Julio Cesar Kalazich
2015;3;ab01038143;galardón;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;28-08-2015;visita a Municipalidad de Comodoro Rivadavia, Argentina
2015;3;ab01123293;Vino Viña Dalbosco;Miguel Antonio Sánchez Sánchez;AB0113470;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Jefe División de Planificación y Desarrollo Regional (Gobierno Regional de Coquimbo);22-07-2015;"Seminario "" Logística Portuaria en la Región de Coquimbo:  Desafíos y perspectivas de Desarrollo"""
2015;3;ab01241743;Entrada al Estadio, Partido de Fútbol.;Andres Alfonso Jouannet Valderrama;AB01216598;INTENDENCIA REGIÓN DE LA ARAUCANÍA;ab012;Intendente(a);30-09-2015;Invitación U. de Chile v/s U. de Concepción.
2015;3;ab01432763;"Libro "" La Industria Valdiviana en su apogeo 1870-1914""";Egon Elier Montecinos Montecinos;AB0143985;INTENDENCIA REGIÓN DE LOS RÍOS;ab014;Intendente(a);09-09-2015;Reunión con Conservador de Bienes y Raíces
