Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2017;1;ab001165543;Tapiz marroquí;Mahmud Aleuy Peña y Lillo;AB001431;SUBSECRETARÍA DEL INTERIOR;ab001;Subsecretario(a);09-01-2017;Visita del Presidente de la Cámara de Consejeros del Reino de Marruecos acompañado de Delegación y Embajadora en Chile
2017;1;ab001165823;Libro;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);10-01-2017;Regalo
2017;1;ab001166793;Agenda;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);12-01-2017;Regalo
2017;1;ab001169263;Libro;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);20-01-2017;-
2017;1;ab002163743;Dos entradas de cortesía para la obra de teatro Un tranvía llamado deseo, para el día 17/01/2017 ;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);03-01-2017;Cortesía enviada por correo.
2017;1;ab002175283;Revista de la Cámara de Comercio de Santiago, Enero/Febrero 2017.;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);27-02-2017;Cortesía enviada por correo.
2017;1;ab006175553;Libros;Patricio Santamaría Mutis;AB006833;SERVICIO ELECTORAL (SERVEL);ab006;Consejero(a) del Consejo Directivo del Servicio Electoral;27-02-2017;Envío anual a Servicio Electoal
2017;1;ab010168943;Agenda 2017;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;20-01-2017;Saludo Protocolar SalmonChile
2017;1;ab010168953;"Libro ""Neltume y Huilo Huilo en Prosa y Poesía";Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;23-01-2017;Saludo
2017;1;ab010170133;Cuadro;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;25-01-2017;Saludo Protocolar General de Carabineros Jefe Zona Región Aysén
2017;1;ab010174433;un cuadro;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;24-02-2017;saludo
2017;1;ab010174443;LIBRO;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;24-02-2017;saludo
2017;1;ab010176093;libro décimo primer estudio nacional de drogas;Karina Alejandra Acevedo Auad;AB01078917;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendenta Región Aysén;06-03-2017;SENDA
2017;1;ab015171393;Perfumero de Medio Ambiente para colgar y Esfera calada de dolor dorado con borla dorada de seda.;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;19-01-2017;Saludo Protocolar de Ministro de Ciencia y Tecnología de China.
2017;1;ab016175403;Invitaciones Marquesina;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;28-02-2017;Encuentro deportivo Copa Sudamerica OHiggins v/s Club Amarillo
2017;1;ab016176953;Invitaciones tribuna pacifico;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;06-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016176963;Invitaciones tribuna andes;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;06-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016177293;Invitaciones tribuna pacifico;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;09-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016177313;Invitaciones tribuna andes;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;09-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016178133;Invitaciones tribuna andes;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;10-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016178143;Invitaciones tribuna pacifico;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;10-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016178153;Invitaciones tribuna pacifico;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;15-03-2017;Sudamericano Futbol Sub 17
2017;1;ab016178163;Invitaciones Marquesinas;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;16-03-2017;Encuentro Deportivo C.D. OHiggins v/s Deportes Iquique
2017;1;ab016175353;Invitaciones Tribuna Pacífico;Mirenchu Beitia Navarrete;AB0165621;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendenta Regional Subrogante (Mirenchu Beitía);21-02-2017;Encuentro Sudamericano Sub 17
2017;1;ab016175363;Invitaciones marquesinas;Mirenchu Beitia Navarrete;AB0165621;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendenta Regional Subrogante (Mirenchu Beitía);22-02-2017;Encuentro Deportivo C.D. OHiggins v/s Cobresal
