Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2016;3;ab001119413;libro;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);05-07-2016;Regalo por la participación  del Ministro en un programa de TVN
2016;3;ab001119423;Libro;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);05-07-2016;regalo
2016;3;ab001137423;Libro;Mario Fernandez Baeza;AB00151083;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);29-09-2016;Regalo
2016;3;ab002120863;Revista En Concreto N° 158, julio 2016;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);13-07-2016;Cortesía enviada por correo.
2016;3;ab002132333;5 postales conmemorativas de los 100 años de la Fundación;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);01-09-2016;Cortesía enviada por correo.
2016;3;ab002133913;Revista de la Cámara de Comercio de Santiago, agosto 2016.;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);06-09-2016;Cortesía enviada por correo.
2016;3;ab002136283;Revista En Concreto N° 160, Septiembre 2016;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);21-09-2016;Cortesía enviada por correo.
2016;3;ab010133703;Lapicera;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;19-08-2016;Día del Funcionario de Gobierno Interior
2016;3;ab010133713;Galvano;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;19-08-2016;Aniversario Gobierno Interior
2016;3;ab010133733;Polera;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;19-08-2016;Reunión
2016;3;ab010135683;Cuadro tipo Galvano;Jorge Eduardo Calderon Nuñez;AB0107723;INTENDENCIA REGIÓN DE AYSÉN;ab010;Intendente;16-09-2016;Fiestas Patrias
2016;3;ab011130413;DOS BOTELLAS DE VINO EN CAJA CON LOGO DE LA CÁMARA DE DIPUTADOS DE SAN JUAN;Claudio Ibáñez González;AB0117780;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Intendente(a);23-08-2016;En el Marco de la Visita del Diputado Prov. San Juan, Sr. Pablo García Nieto
2016;3;ab011138443;6 Botellas de Vino;Claudio Ibáñez González;AB0117780;INTENDENCIA REGIÓN DE COQUIMBO;ab011;Intendente(a);15-09-2016;Fiestas Patrias
2016;3;ab014124083;Medalla  de reconocimiento. Aniversario Nº 52 de la comuna de Máfil;Egon Elier Montecinos Montecinos;AB0143985;INTENDENCIA REGIÓN DE LOS RÍOS;ab014;Intendente(a);15-07-2016;Aniversario de la Comuna de Máfil
2016;3;ab015138073;Figura de auto réplica miniatura vehículo institucional y placa;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2016;Aniversario Independencia Nacional y Glorias del Ejército
2016;3;ab015138083;Figura de águila en peltre;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2016;Aniversario Independencia Nacional y Glorias del Ejército
2016;3;ab015138093;Cuadro con fotografía institucional;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2016;Aniversario Independencia Nacional y Glorias del Ejército
2016;3;ab015138103;Figura de boya con reloj en bronce;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2016;Aniversario Independencia Nacional y Glorias del Ejército
2016;3;ab015138113;Plato grabado en peltre;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;18-09-2016;Aniversario Independencia Nacional y Glorias del Ejército
2016;3;ab015138133;Galvano con saludo al Sr. Intendente, Galvano de Conjunto Folclórico  Brisas del Rahue, Libro Atacama Desierto Vivo, Libro Memorias de la Fiesta de Recreación Viaje Inaugural del 1er Ferrocarril de Chile, Libro El Camino del Gaucho, Carpeta y banderín de ;Jorge Mauricio Flies Añon;AB0152423;INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA;ab015;Jefe(a) de servicio;30-09-2016;Presentación Campeones de Cueca Nacional
2016;3;ab016122043;Invitaciones marquesinas;Pablo Manuel Silva Amaya;AB01646538;INTENDENCIA REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS;ab016;Intendente Regional de OHiggins;14-07-2016;Encuentro Deportivo entre Club Deportivo OHiggins v/s C.D. Rangers
