"uriAudiencia","CodigoURI","uriOrganismo","organismo","fechaEvento","fechaRegistro","fechaActualizacion","uriComuna","comuna","tipo","minutos","duracionMinutos","uriFecha","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164371011","aj0164371011","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-09-14T16:00:00","2020-10-02T18:48:56.47","2020-10-02T18:48:56.47","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727487277",60,"nodeID://b1727487276","nodeID://b1743729422",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164322671","aj0164322671","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-07-31T14:00:00","2020-09-01T21:46:01.183","2020-09-01T21:46:01.183","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479279",60,"nodeID://b1727479278","nodeID://b1743725423",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164338631","aj0164338631","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-08-20T10:00:00","2020-09-01T21:46:05.493","2020-09-01T21:46:05.493","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479305",30,"nodeID://b1727479304","nodeID://b1743725436",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164351581","aj0164351581","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-09-07T09:00:00","2020-09-01T21:46:06.147","2020-10-02T18:48:56.153","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727487275",30,"nodeID://b1727487274","nodeID://b1743729421",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164352151","aj0164352151","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-08-26T09:00:00","2020-09-01T21:46:02.3","2020-09-01T21:46:02.3","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479285",30,"nodeID://b1727479284","nodeID://b1743725426",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164351571","aj0164351571","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-08-19T16:00:00","2020-09-01T21:46:05.79","2020-09-01T21:46:05.79","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479307",60,"nodeID://b1727479306","nodeID://b1743725437",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164294611","aj0164294611","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-07-10T09:30:00","2020-08-04T15:06:24.31","2020-08-04T15:06:24.31","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727472079",30,"nodeID://b1727472078","nodeID://b1743721823",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164296891","aj0164296891","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-07-13T09:00:00","2020-08-04T15:06:26.09","2020-08-04T15:06:26.09","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727472089",60,"nodeID://b1727472088","nodeID://b1743721828",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164296901","aj0164296901","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-07-10T11:00:00","2020-08-04T15:06:26.467","2020-08-04T15:06:26.467","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727472091",60,"nodeID://b1727472090","nodeID://b1743721829",2020,3
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164329391","aj0164329391","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-07-29T10:00:00","2020-09-01T21:46:03.38","2020-09-01T21:46:03.38","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479293",60,"nodeID://b1727479292","nodeID://b1743725430",2020,3
