"uriAudiencia","CodigoURI","uriOrganismo","organismo","fechaEvento","fechaRegistro","fechaActualizacion","uriComuna","comuna","tipo","minutos","duracionMinutos","uriFecha","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164258741","aj0164258741","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-05-28T15:00:00","2020-06-01T21:12:03.25","2020-06-01T21:12:03.25","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727460847",60,"nodeID://b1727460846","nodeID://b1743716207",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164274521","aj0164274521","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-15T12:00:00","2020-07-02T14:28:16.963","2020-07-02T14:28:16.963","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727465379",60,"nodeID://b1727465378","nodeID://b1743718473",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164274531","aj0164274531","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-10T11:00:00","2020-07-02T14:28:17.307","2020-07-02T14:28:17.307","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727465381",60,"nodeID://b1727465380","nodeID://b1743718474",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164269161","aj0164269161","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-01T11:30:00","2020-07-02T14:28:16.643","2020-07-02T14:28:16.643","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727465377",90,"nodeID://b1727465376","nodeID://b1743718472",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164272461","aj0164272461","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-12T08:30:00","2020-07-02T14:28:16.05","2020-07-02T14:28:16.05","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727465373",60,"nodeID://b1727465372","nodeID://b1743718470",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164329421","aj0164329421","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-11T16:00:00","2020-09-01T21:46:04.093","2020-09-01T21:46:04.093","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479297",60,"nodeID://b1727479296","nodeID://b1743725432",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164329411","aj0164329411","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-30T10:00:00","2020-09-01T21:46:03.7","2020-09-01T21:46:03.7","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727479295",60,"nodeID://b1727479294","nodeID://b1743725431",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164287231","aj0164287231","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-06-23T09:30:00","2020-08-04T15:06:23.96","2020-08-04T15:06:23.96","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727472077",30,"nodeID://b1727472076","nodeID://b1743721822",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164256321","aj0164256321","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-05-25T15:30:00","2020-06-01T21:12:02.173","2020-06-01T21:12:02.173","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727460841",60,"nodeID://b1727460840","nodeID://b1743716204",2020,2
"http://datos.infolobby.cl/infolobby/registroaudiencia/aj0164258311","aj0164258311","http://datos.infolobby.cl/infolobby/institucion/aj016","Servicio Local de Educación Pública de Barrancas","2020-05-28T09:00:00","2020-06-01T21:12:02.503","2020-06-01T21:12:02.503","http://datos.infolobby.cl/infolobby/comuna/13117","Lo Prado","Video Conferencia","nodeID://b1727460843",60,"nodeID://b1727460842","nodeID://b1743716205",2020,2
