"uriAudiencia","CodigoURI","uriOrganismo","organismo","fechaEvento","fechaRegistro","fechaActualizacion","uriComuna","comuna","tipo","minutos","duracionMinutos","uriFecha","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0011331","ab0011331","http://datos.infolobby.cl/infolobby/institucion/ab001","SUBSECRETARÍA DEL INTERIOR","2015-01-12T20:00:00","2015-02-03T00:28:05.727","2015-10-02T19:23:54.373","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615317",30,"nodeID://b1726615316","nodeID://b1743293442",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0012181","ab0012181","http://datos.infolobby.cl/infolobby/institucion/ab001","SUBSECRETARÍA DEL INTERIOR","2015-01-07T15:00:00","2015-02-03T00:28:16.083","2015-10-02T19:24:04.887","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Video Conferencia","nodeID://b1726615483",60,"nodeID://b1726615482","nodeID://b1743293525",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0012211","ab0012211","http://datos.infolobby.cl/infolobby/institucion/ab001","SUBSECRETARÍA DEL INTERIOR","2015-01-20T14:00:00","2015-02-03T00:28:16.443","2015-10-02T19:24:05.357","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615489",60,"nodeID://b1726615488","nodeID://b1743293528",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0012221","ab0012221","http://datos.infolobby.cl/infolobby/institucion/ab001","SUBSECRETARÍA DEL INTERIOR","2015-01-20T15:00:00","2015-02-03T00:28:16.52","2015-10-02T19:24:05.463","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615491",60,"nodeID://b1726615490","nodeID://b1743293529",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0012231","ab0012231","http://datos.infolobby.cl/infolobby/institucion/ab001","SUBSECRETARÍA DEL INTERIOR","2015-01-21T20:00:00","2015-02-03T00:28:16.583","2015-10-02T19:24:05.543","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615493",60,"nodeID://b1726615492","nodeID://b1743293530",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0021201","ab0021201","http://datos.infolobby.cl/infolobby/institucion/ab002","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","2015-01-06T03:00:00","2015-02-03T00:28:04.477","2015-10-02T19:23:53.08","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615295",60,"nodeID://b1726615294","nodeID://b1743293431",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0021341","ab0021341","http://datos.infolobby.cl/infolobby/institucion/ab002","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","2015-01-14T13:30:00","2015-02-03T00:28:05.773","2015-10-02T19:23:54.45","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615319",30,"nodeID://b1726615318","nodeID://b1743293443",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0024011","ab0024011","http://datos.infolobby.cl/infolobby/institucion/ab002","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","2015-03-16T03:00:00","2015-04-02T18:50:29.347","2015-10-02T19:24:25.963","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726615797",60,"nodeID://b1726615796","nodeID://b1743293682",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0024171","ab0024171","http://datos.infolobby.cl/infolobby/institucion/ab002","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","2015-03-19T16:00:00","2015-04-02T18:50:30.407","2015-10-02T19:24:28.117","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726615823",90,"nodeID://b1726615822","nodeID://b1743293695",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0062571","ab0062571","http://datos.infolobby.cl/infolobby/institucion/ab006","SERVICIO ELECTORAL (SERVEL)","2015-01-15T12:00:00","2015-02-03T00:28:20.123","2015-10-02T19:24:09.083","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615545",150,"nodeID://b1726615544","nodeID://b1743293556",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ab0063021","ab0063021","http://datos.infolobby.cl/infolobby/institucion/ab006","SERVICIO ELECTORAL (SERVEL)","2015-02-19T18:30:00","2015-03-04T12:45:36.533","2015-10-02T19:24:14.077","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726615621",90,"nodeID://b1726615620","nodeID://b1743293594",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0011731","ac0011731","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-01-23T14:00:00","2015-02-03T00:28:10.077","2015-10-02T19:23:59.507","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615395",60,"nodeID://b1726615394","nodeID://b1743293481",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0013771","ac0013771","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-03-09T14:30:00","2015-04-02T18:50:27.177","2015-10-02T19:24:22.593","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615755",60,"nodeID://b1726615754","nodeID://b1743293661",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0012621","ac0012621","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-01-30T19:00:00","2015-10-02T19:24:09.74","2015-10-02T19:24:09.74","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615553",30,"nodeID://b1726615552","nodeID://b1743293560",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0016231","ac0016231","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-03-04T19:00:00","2015-10-02T19:24:52.233","2015-10-02T19:24:52.233","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726616197",30,"nodeID://b1726616196","nodeID://b1743293882",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0016261","ac0016261","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-03-11T20:30:00","2015-10-02T19:24:52.577","2015-10-02T19:24:52.577","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726616203",60,"nodeID://b1726616202","nodeID://b1743293885",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0012611","ac0012611","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-01-05T20:00:00","2015-10-02T19:24:09.66","2015-10-02T19:24:09.66","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615551",30,"nodeID://b1726615550","nodeID://b1743293559",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac00141661","ac00141661","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-02-11T20:00:00","2016-02-26T19:19:52.27","2016-02-26T19:19:52.27","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726684277",30,"nodeID://b1726684276","nodeID://b1743327922",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0014611","ac0014611","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-03-02T13:30:00","2015-04-02T18:50:33.323","2015-10-02T19:24:33.263","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726615897",60,"nodeID://b1726615896","nodeID://b1743293732",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0016251","ac0016251","http://datos.infolobby.cl/infolobby/institucion/ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","2015-02-12T12:30:00","2015-10-02T19:24:52.5","2015-10-02T19:24:52.5","http://datos.infolobby.cl/infolobby/comuna/13132","Vitacura","Presencial","nodeID://b1726616201",60,"nodeID://b1726616200","nodeID://b1743293884",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0061351","ad0061351","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-01-13T14:30:00","2015-02-03T00:28:05.867","2015-10-02T19:23:54.56","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615321",60,"nodeID://b1726615320","nodeID://b1743293444",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0061841","ad0061841","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-01-27T15:00:00","2015-02-03T00:28:12.59","2015-10-02T19:24:01.127","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615417",30,"nodeID://b1726615416","nodeID://b1743293492",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0064931","ad0064931","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-03-25T13:00:00","2015-04-02T18:50:35.803","2015-10-02T19:24:37.243","http://datos.infolobby.cl/infolobby/comuna/13101","Santiago","Presencial","nodeID://b1726615957",30,"nodeID://b1726615956","nodeID://b1743293762",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0062821","ad0062821","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-02-03T13:00:00","2015-03-04T12:45:35.44","2015-10-02T19:24:11.97","http://datos.infolobby.cl/infolobby/comuna/13106","Estación Central","Presencial","nodeID://b1726615589",75,"nodeID://b1726615588","nodeID://b1743293578",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0064111","ad0064111","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-03-19T01:00:00","2015-04-02T18:50:29.673","2015-10-02T19:24:26.807","http://datos.infolobby.cl/infolobby/comuna/13126","Quinta Normal","Presencial","nodeID://b1726615811",30,"nodeID://b1726615810","nodeID://b1743293689",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0063191","ad0063191","http://datos.infolobby.cl/infolobby/institucion/ad006","EJÉRCITO DE CHILE","2015-02-26T12:30:00","2015-03-04T12:45:37.673","2015-10-02T19:24:15.76","http://datos.infolobby.cl/infolobby/comuna/2101","Antofagasta","Presencial","nodeID://b1726615653",60,"nodeID://b1726615652","nodeID://b1743293610",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0071511","ad0071511","http://datos.infolobby.cl/infolobby/institucion/ad007","ARMADA DE CHILE","2015-01-20T13:30:00","2015-02-03T00:28:07.177","2015-10-02T19:23:56.277","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615351",30,"nodeID://b1726615350","nodeID://b1743293459",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0071231","ad0071231","http://datos.infolobby.cl/infolobby/institucion/ad007","ARMADA DE CHILE","2015-01-09T12:00:00","2015-02-03T00:28:05.147","2015-10-02T19:23:53.64","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615301",30,"nodeID://b1726615300","nodeID://b1743293434",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0072961","ad0072961","http://datos.infolobby.cl/infolobby/institucion/ad007","ARMADA DE CHILE","2015-03-03T13:00:00","2015-04-02T18:50:26.163","2015-10-02T19:24:13.093","http://datos.infolobby.cl/infolobby/comuna/5101","Valparaíso","Presencial","nodeID://b1726615609",30,"nodeID://b1726615608","nodeID://b1743293588",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0073821","ad0073821","http://datos.infolobby.cl/infolobby/institucion/ad007","ARMADA DE CHILE","2015-01-22T12:00:00","2015-10-02T19:24:23.077","2015-10-02T19:24:23.077","http://datos.infolobby.cl/infolobby/comuna/5101","Valparaíso","Presencial","nodeID://b1726615761",30,"nodeID://b1726615760","nodeID://b1743293664",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0081361","ad0081361","http://datos.infolobby.cl/infolobby/institucion/ad008","FUERZA AÉREA DE CHILE","2015-01-14T13:00:00","2015-02-03T00:28:05.927","2015-10-02T19:23:54.653","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615323",60,"nodeID://b1726615322","nodeID://b1743293445",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0082011","ad0082011","http://datos.infolobby.cl/infolobby/institucion/ad008","FUERZA AÉREA DE CHILE","2015-01-21T18:00:00","2015-02-03T00:28:14.477","2015-10-02T19:24:03.03","http://datos.infolobby.cl/infolobby/comuna/1","Sin Información","Presencial","nodeID://b1726615451",30,"nodeID://b1726615450","nodeID://b1743293509",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0083791","ad0083791","http://datos.infolobby.cl/infolobby/institucion/ad008","FUERZA AÉREA DE CHILE","2015-03-11T18:00:00","2015-04-02T18:50:27.32","2015-10-02T19:24:22.767","http://datos.infolobby.cl/infolobby/comuna/13102","Cerrillos","Presencial","nodeID://b1726615759",15,"nodeID://b1726615758","nodeID://b1743293663",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0084081","ad0084081","http://datos.infolobby.cl/infolobby/institucion/ad008","FUERZA AÉREA DE CHILE","2015-03-17T19:00:00","2015-04-02T18:50:29.47","2015-10-02T19:24:26.477","http://datos.infolobby.cl/infolobby/comuna/13102","Cerrillos","Presencial","nodeID://b1726615805",30,"nodeID://b1726615804","nodeID://b1743293686",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0084091","ad0084091","http://datos.infolobby.cl/infolobby/institucion/ad008","FUERZA AÉREA DE CHILE","2015-03-09T19:00:00","2015-04-02T18:50:29.563","2015-10-02T19:24:26.62","http://datos.infolobby.cl/infolobby/comuna/13102","Cerrillos","Presencial","nodeID://b1726615807",30,"nodeID://b1726615806","nodeID://b1743293687",2015,1
