Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Persona efectúa aporte;Tipo de Aporte;Valorización en Pesos
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2016;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;N/A;N/A;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/ABRIL - JUNIO;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;N/A;N/A;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/ENERO - MARZO;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;N/A;N/A;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/JULIO - SEPTIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;N/A;N/A;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;CHRISTIAN ROBERTO PARRA;PUBLICO;10000
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;LUIS PABLO CID SOTO;NO PUBLICO;20000
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;VALENTINA GABRIELA;PUBLICO;100000
Pagina Registro de Aportes a Campañas Electorales/Aportes Campañas Electorales año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes Campañas Electorales año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes Campañas Electorales año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes Campañas Electorales año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a campañas electorales 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a Campañas Electorales 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abril - Junio;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a Campañas Electorales 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Enero-Marzo;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Aportes a Campañas Electorales 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Julio - Septiembre;n/a;n/a;0
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;ABONOS VARIOS - ALCALDICIA;Aportes en Dinero;40017
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;APORTE PARTIDO DEMÓCRATA CRISTIANO - ALCALDICIA;Aportes en Dinero;1730703
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;APORTE PARTIDO DEMÓCRATA CRISTIANO - ALCALDICIA;Aportes en Dinero;3500000
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;JOSE RIQUELME HERRERA - CONCEJALES;Aportes en Dinero;200000
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL -ALCALDICIA;Aportes en Dinero;708763902
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL - ALCALDICIA;Aportes en Dinero;8343965
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL - CONCEJALES;Aportes en dinero;1034
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2016 - Elección Alcaldes y Concejales;PP009;Partido Demócrata Cristiano (PDC);2016;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL - CONCEJALES;Aportes en Dinero;416104441
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;APORTE A SENADORES CON CUENTA DIPUTADOS;Aportes en dinero;40000000
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;APORTE PROPIO - PARTIDO DEMOCRATA CRISTIANO;Aportes en dinero;153030519
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;APORTE PROPIO - PARTIDO DEMOCRATA CRISTIANO;Aportes en dinero;58155300
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL ANTICIPO FISCAL- CORES;Aportes en dinero;431505976
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL ANTICIPO FISCAL - DIPUTADOS;Aportes en Dinero;164974769
Pagina Registro de Aportes a Campañas Electorales/Trimestre Octubre - Diciembre 2017 - Elección Consejeros, Diputados y Senadores;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;TGR FINANCIAMIENTO ELECTORAL ANTICIPO FISCAL -SENADORES;Aportes en Dinero;528512114
Pagina Registro de Aportes a Campañas Electorales/Trimestre Julio - Septiembre 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Manuel Gallardo;Aporte en especie;178500
Pagina Registro de Aportes a Campañas Electorales/Trimestre Julio - Septiembre 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Manuel Gallardo;Aporte en especie;178500
