Camino;Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Tipo Elección;Año Elección;Territorio electoral;Nombre completo del candidato;Declaración de Intereses y Patrimonio
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CERRO NAVIA;PATRICIA HERRERA VALENZUELA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321011C011241.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAITEN;BERNARDO RIQUELME MUÑOZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1043001C010491.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAITEN;JAVIER ROBERTO TRONCOSO PéREZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1043001C010517.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAITEN;MIGUEL ANGEL ARACENA MARCHANT;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1043001C010531.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAITEN;RICARDO CESAR RIVERA LEVIÑANCO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1043001C010503.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAÑARAL;HECTOR ANTONIO ALFARO CORTES;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0307001C009355.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHAÑARAL;JUAN EGIDIO OLGUIN CABEZAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0307001C009367.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHANCO;CARLOS ALBERTO ALARCÓN YAÑEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0732003C009893.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHANCO;MóNICA PAULINA MUñOZ GUAJARDO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0732003C009882.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHANCO;RICARDO EDISON CANALES ÁVILA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0732003C009914.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHEPICA;CESAR  RAMON VALENZUELA  MORENO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627005C009859.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHEPICA;ELISA ALEJANDRA REYES ARRIAGADA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627005C009853.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHEPICA;MARIBEL CECILIA RUZ FARIAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627005C009844.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIGUAYANTE;GLADYS DEL TRANSITO CATALAN GALLARDO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834011C010268.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIGUAYANTE;LUIS ENRIQUE RíOS MELILLáN;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834011C010294.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIGUAYANTE;MONICA YOLANDA CASTRO MORALES;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834011C010278.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN;CAMILO FRANCISCO BENAVENTE JIMENEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833001C010160.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN;GUILLERMO MARCELO VALDES MUñOZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833001C010173.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN;JOSE LUIS MUñOZ CORTES;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833001C010183.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN VIEJO;FRANCISCO JAVIER MONROY OTAROLA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833021C010119.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN VIEJO;LORENA DEL PILAR GUTIERREZ HERRERA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833021C010108.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN VIEJO;MAXIMILIANO IGNACIO ZAPATA SáEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833021C010094.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN VIEJO;PABLO JOSE PEREZ AOROSTIZAGA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833021C010133.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHILLAN;YANINA ANDREA CONTRERAS MENDOZA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833001C010144.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIMBARONGO;MANUEL LUIS BECERRA DONOSO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627002C009902.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIMBARONGO;MARISOL ANGELICA GUAJARDO LECAROS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627002C009891.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHIMBARONGO;VICTOR HERNAN CUBILLOS  MOLINA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0627002C009883.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHOLCHOL;BERTA CLARA AÑIO CALFIN;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0938021C010473.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHOLCHOL;HAROLDO ALFREDO GONZALEZ RIFO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0938021C010488.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHOLCHOL;JUAN CARLOS GONZALEZ CASTILLO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0938021C010461.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHOLCHOL;JUAN SEGUNDO NECULHUAL TROPA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0938021C010525.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHONCHI;CARLOS ÑANCUPEL ÑANCUPEL;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1042008C010641.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHONCHI;HUGO ADAN GOMEZ VARGAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1042008C010659.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHONCHI;JOB ISAAC AGUILAR BARRA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1042008C010630.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CHONCHI;JUAN BORIS ILLANES CARDENAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1042008C010649.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CISNES;JOSé ARMANDO ANTIñANCO ALVARADO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1145002C010708.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COCHAMO;GASTON HILARIO ARGEL ARGEL;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1041003C010595.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COCHAMO;JUAN CESAR BUSTO LEIVA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1041003C010603.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COCHAMO;RAQUEL DEL CARMEN TELLEZ OYARZO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1041003C010585.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COCHAMO;VERóNICA MARCELA CHáVEZ CHáVEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1041003C010618.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COCHRANE;LUICíA MAGDALENA CARO CHEUQUEMáN;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1147001C010690.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CODEGUA;FELIPE ANTONIO ESPINOZA PAVEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626004C009910.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COELEMU;DIONISIO ALBERTINO VELOSO TORRES;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833015C010293.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COELEMU;MARIA ANGELICA GONZALEZ NOVA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833015C010332.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COELEMU;MAXIMIANO PEREZ GONZÁLEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833015C010305.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COELEMU;ROSA HERMINIA GATICA CHAVEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833015C010320.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COIHUECO;CLAUDIO AGUSTÍN PALACIOS VERGARA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833005C010378.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COIHUECO;JOSE VICENTE GUZMAN ZUÑIGA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833005C010459.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COIHUECO;JUAN DE DIOS VALLEJOS NOVOA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833005C010441.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COIHUECO;LUIS ALBERTO AMESTICA PONCE;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833005C010421.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COIHUECO;ROSA MARIA ASTUDILLO PULGAR;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0833005C010396.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COINCO;ADALBERTO VALENZUELA SILVA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626015C009984.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COINCO;JUAN FRANCISCO ABARCA CABRERA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626015C009978.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COINCO;ROBERTO IGNACIO SALAS GUAJARDO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626015C009968.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLBUN;ALEXSANDRA VALDEBENITO MUÑOZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0731003C009805.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLBUN;ESTEBAN ARIEL VALDéS PACHECO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0731003C009795.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLBUN;JACQUELINE NUñEZ RAMOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0731003C009815.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLCHANE;GLORIA MARIA GARCIA MAMANI;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0152003C009391.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLCHANE;IVáN RODRIGO HERRERA QUISPE;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0152003C009368.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLCHANE;JUAN SEGUNDO CHOQUE MAMANI;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0152003C009402.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLCHANE;OSCAR MANUEL VILCHES MAMANI;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0152003C009377.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLINA;EDGARDO ANDRéS PéREZ VARGAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1320001C011367.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLINA;MAURICIO FRANCISCO DE BORJA ROJAS SANDOVAL;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1320001C011244.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLINA;NICOLLE ALEJANDRA DIAZ GARCIA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1320001C011385.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLINA;VLADIMIR PAVEZ SOTO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1320001C011262.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLLIPULLI;ANDRES IGNACIO LLANO JARA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0937003C010265.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLLIPULLI;AUREA PATRICIA MOLINA MARTINEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0937003C010361.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLLIPULLI;JUAN ALBERTO REYNOLDS BARRIENTOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0937003C010277.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLLIPULLI;MAGALY  TREIPE CISTERNAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0937003C010259.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLTAUCO;NANCY CAROLINA ZúñIGA TERáN;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626014C009695.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLTAUCO;PABLO ANDRES IBARRA GOMEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626014C009683.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COLTAUCO;RICARDO ESTEBAN SILVA VASCONCELLO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0626014C009689.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COMBARBALA;EDGARDO DEL ROSARIO VEGA TAPIA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0411004C009333.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COMBARBALA;JUAN ALEJANDRO CASTILLO CASTILLO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0411004C009343.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COMBARBALA;LUIS ALBERTO PLAZA CASTILLO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0411004C009359.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COMBARBALA;MARIA DEYANIRA CASTILLO ROJAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0411004C009352.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCEPCION;ELENA  DIAZ ISLA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834001C010189.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCEPCION;JIMENA FABIOLA JORQUERA FUENTEALBA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834001C010123.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCEPCION;LEODAN FERNANDO ZAPATA FERNANDEZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834001C010143.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCEPCION;RAUL EDUARDO RUIZ VALLEJOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834001C010103.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCEPCION;SCARLET NUVIA HIDALGO JARA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0834001C010164.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCHALI;ANGELO JARED TORRES RAMIREZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321005C011070.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCHALI;CARLOS  SOTOLICHIO URQUIZA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321005C011134.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCHALI;DIEGO OCTAVIO NAVARRO LAGOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321005C011081.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCHALI;LISSETTE ALEJANDRA PONCE PALACIOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321005C011108.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCHALI;RAUL ALBERTO VALDES ARIAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/1321005C011058.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCON;MARGARITA NELLY LOPEZ MONTESINOS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0517009C009445.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCON;MARIO OSCAR LEON SOTO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0517009C009456.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONCON;RICARDO PATRICIO CHAMORRO CORTES;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0517009C009469.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONSTITUCION;ANITA MARíA MOLINA GUTIERREZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0730008C009900.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONSTITUCION;GUADALUPE MUñOZ RIQUELME;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0730008C009920.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONSTITUCION;LUIS ALBERTO SILVA SIERRA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0730008C009912.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONTULMO;ALBERTO  GONZALO BLANCO  JORQUERA;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0836006C010387.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONTULMO;CARLOS  GUILLERMO LEVIQUEO  CONTRERAS;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0836006C010408.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONTULMO;DESIDERIO LEONEL EPULLáN LLANQUILEO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0836006C010350.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;CONTULMO;ELIANA  DEL  CARMéN CRUCES  LEVIQUEO;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0836006C010367.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COPIAPO;CARLOS HERNAN PEREZ GUTIERREZ;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0308001C009256.pdf
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COPIAPO;JESSICA MABEL ROJAS GAHONA;http://web.servel.cl
Declaraciones de intereses y patrimonio de candidatos/2016/2016 Concejales;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Concejal;2016;COPIAPO;OCTAVIO MENESES AQUEVEQUE;http://cdn.servicioelectoral.cl/media/documentos/declaracion/0308001C009222.pdf
