Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item de ingresos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Ingresos del partido político/Ingresos del partido año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;0;0;0;0;85232047
Ingresos del partido político/Ingresos del partido año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;16970341;14005190;18761414
Ingresos del partido político/Ingresos del partido año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;85520092;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Cuotas y aportes de afiliados;Pesos;0;0;0;25643791;22042763;22335816;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;83894393;0;85766492;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;19764510;42481000;27012800;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimiento por actividades;Pesos;396830;0;0;0;0;0;0;0;0;0;0;0
