Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item de ingresos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Ingresos del partido político/Ingresos del partido año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;528720;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;85362637;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;20080602;23562914;47787060;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;0;0;0;0;83564950
Ingresos del partido político/Ingresos del partido año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;23822000;4334400;19058040
Ingresos del partido político/Ingresos del partido año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;81850091;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cuotas y aportes de afiliados;Pesos;0;0;0;5792400;10525580;14760210;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Otros Ingresos;Pesos;0;0;0;0;330585;247288558;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Rendimientos de patrimonio;Pesos;0;0;0;276339914;20154824;137663790;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;84909078;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Cuotas y aportes de afiliados;Pesos;12444000;10091300;9008634;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;17303470;17661799;6789500;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Otros Ingresos;Pesos;0;0;0;0;0;0;23719205;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2018;Jul - Sep;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;19016837;19041736;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;0;0;84248902;85205329;0
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;4559120;5388946;7507938
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2018/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2018;Oct - Dic;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;12350833;9935995;10000000
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;85524129;0;0;85435411;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Aportes personas naturales;Pesos;0;0;0;852100;254800;276000;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Cuotas y aportes de afiliados;Pesos;3681400;4783500;5687100;5547000;8803440;8518010;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Rendimientos de patrimonio;Pesos;50007047;0;0;40038798;0;224038;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;85524129;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Cuotas y aportes de afiliados;Pesos;3681400;4783500;5687100;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Rendimientos de patrimonio;Pesos;50007047;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;85524129;0;0;85435411;0;0;0;85886245;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Aportes personas naturales;Pesos;0;0;0;852100;254800;276000;692400;414400;1125400;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Cuotas y aportes de afiliados;Pesos;3681400;4783500;5687100;5547000;8803440;8518010;23143821;14434311;21873313;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Rendimientos de patrimonio;Pesos;50007047;0;0;40038798;0;224038;10147091;960000;20536971;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;85524129;0;0;85435411;0;0;0;85886245;0;87009389;0
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Aportes personas naturales;Pesos;0;0;0;852100;254800;276000;692400;414400;1125400;413600;171200;302200
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Cuotas y aportes de afiliados;Pesos;3681400;4783500;5687100;5547000;8803440;8518010;23143821;14434311;21873313;9428150;4707800;6237600
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del partido año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Rendimientos de patrimonio;Pesos;50007047;0;0;40038798;0;224038;10147091;960000;20536971;190000;190000;190000
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;89364020;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Aportes personas naturales;Pesos;119600;102200;0;77600;26200;100400;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Cuotas y aportes de afiliados;Pesos;7122150;11488400;9247620;3799400;3726800;5828200;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Otros ingresos;Pesos;0;0;0;0;2358374;2856996;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Rendimientos de patrimonio;Pesos;42197306;190000;30893716;46653563;15952992;5527145;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Aportes personas naturales;Pesos;119600;102200;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Cuotas y aportes de afiliados;Pesos;7122150;11488400;9247620;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Otros ingresos;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Rendimientos de patrimonio;Pesos;42197306;190000;30893716;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;0;0;0;0;89364020;0;88569377;87285574;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Aportes personas naturales;Pesos;119600;102200;0;77600;26200;100400;189180;421100;1513180;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Cuotas y aportes de afiliados;Pesos;7122150;11488400;9247620;3799400;3726800;5828200;3509100;8146300;15667661;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Otros ingresos;Pesos;0;0;0;0;2358374;2856996;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político/Ingresos del Partido Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Rendimientos de patrimonio;Pesos;42197306;190000;30893716;46653563;15952992;5527145;110000;110000;110000;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Aportes estatales regulados en la Ley N° 18603;Pesos;255148864;0;0;261478116;261231716;0;0;260521602;0;0;257469753;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;3662120;3248495;13826953;10806412;4220432;3851342;4766267;5829116;2453716;3012216;2560216;1940216
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2017;PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;310966;310395;311926;313050;314144;314648;0;627432;314194;314194;315430;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Aportes estatales regulados en la Ley N° 18603;Pesos;0;261762241;0;0;0;145939809;0;0;148985113;0;0;149941539
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;6597216;2322000;1117000;952033;467000;230000;487000;250000;230000;230000;250000;260000
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;9519;39584955;33406565;20314220;0;160407587;65962444;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2018;PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;316240;316620;636420;0;318830;319990;0;321250;0;0;0;1951680
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Aportes estatales regulados en la Ley N° 18603;Pesos;0;164191105;0;0;164102386;0;0;163271566;0;0;166239240;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;290000;260000;250000;240000;603700;260000;240000;240000;280000;260000;240000;260000
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;3801957;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2019;PP009;Partido Demócrata Cristiano (PDC);2019;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;490601;165551;325280;30425760;30000000;60329070;55000000;1500000;0;0;130000000;2333180
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Aportes estatales regulados en la Ley N° 18603;Pesos;170978834;0;0;170167179;0;0;163318001;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;260000;260000;260000;340000;340000;260000;370000;370982;633836;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Ingresos del partido político, en conformidad al Art. 34 de la Ley 18603/Ingresos del Partido - 2020;PP009;Partido Demócrata Cristiano (PDC);2020;Jul - Sep;Rendimientos procedentes de su propio patrimonio;Pesos;339080;685040;130341080;0;338720;338860;338600;676600;0;0;0;0
Pagina Ingresos del partido político/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Aportes del Estado (art. 33 bis Ley NÂ°18603);Pesos;0;0;0;0;22961434;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Abr - Jun;PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley NÂ°18603);Pesos;0;11427743;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Ingresos del partido político/2017/Ene - Mar;PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
