Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias públicas;Pesos;8992324
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias públicas;Pesos;8992324
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias públicas;Pesos;8992324
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias públicas;Pesos;8992324
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;83564950
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Cotizaciones;Pesos;47214440
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Otras Transferencias privadas;Pesos;423434484
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;81850091
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Cotizaciones;Pesos;31078190
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Donaciones;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Frutos y productos de los Bienes Patrimoniales;Pesos;434158528
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2018;Abr - Jun;Otras Transferencias públicas;Pesos;247619143
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;84909078
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2018/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2018;Ene - Mar;Cotizaciones;Pesos;31543934
