Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Cotización;Unidad Monetaria;Monto
Pagina Cotizaciones de sus afiliados/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Ordinaria;Pesos;0
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85232047
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Cotizaciones;Pesos;49736945
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Donaciones;Pesos;0
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Otras Transferencias públicas;Pesos;8992324
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Extraordinarias;Pesos;66693370
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Ordinarias;Pesos;3329000
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Extraordinarias;Pesos;86540710
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Ordinarias;Pesos;4872400
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Extraordinarias;Pesos;88372376
Cotizaciones de sus afiliados/Cotizaciones de sus afiliados año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Ordinarias;Pesos;3058200
