Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Región;Comuna;Avenida, Calle o Pasaje;Número del inmueble, depto u oficina
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2017;Ene - Mar;VI Región de O'Higgins;CHIMBARONGO;Pisagua;368A
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Arica y Parinacota;Arica;Maipu;792
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Tarapaca;Iquique;Obispo Labbe;664
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Antofagasta;Antofagasta;Covadonga;871
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Atacama;Copiapo;Rodriguez;440
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Coquimbo;La Serena;Rengifo;141
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Valparaiso;Quillota;M. Rodriguez;35
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Valparaiso;Valparaíso;Aldunate;1666
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Valparaiso;San Antonio;Lautaro;1661
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region Metropolitana;Santiago;Vicuña Mackenna;31
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region del Libertador General Bernardo O'Higgins;Rancagua;Zañartu;656
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region del Maule;Talca;Dos poniente;4
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region del Ñuble;Chillán;Brasil;985
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region del Biobio;Concepción;Paicavi;575
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de la Araucania;Temuco;Manuel Montt;1100
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Los Rios;Valdivia;Juan Arcos;1823
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de los Lagos;Puerto Montt;Rengifo;415
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Aysen del General Carlos Ibáñez del Campo;Coyhaique;Las Lengas;1184
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;Region de Magallanes y la Antartica Chilena;Punta Arenas;Chiloe;1258
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;I Región de Tarapacá;IQUIQUE;Serrano;712
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;II Región de Antofagasta;CALAMA;Vicuña Mackena;1956
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;II Región de Antofagasta;ANTOFAGASTA;Maipú;759
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;III Región de Atacama;COPIAPO;Chañarcillo;399
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IV Región de Coquimbo;COQUIMBO;Aldunate;1725
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IV Región de Coquimbo;SALAMANCA;Pasaje Los Pimientos;148
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IV Región de Coquimbo;LA HIGUERA;Punta Colorada;S/N
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;IV Región de Coquimbo;OVALLE;Libertad;721
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;SANTIAGO;Alameda;1460
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LA CISTERNA;Santa Teresa;37
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LA FLORIDA;Millalongo;22
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LA PINTANA;Patagonia;12537
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;LO BARNECHEA;El Esfuerzo;14045
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;PEDRO AGUIRRE CERDA;Pasaje Anacreonte;4445
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;PROVIDENCIA;Román Díaz;1014
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Región Metropolitana;SAN JOAQUÍN;Martín Henríquez;4192
