Camino;C骴igo del organismo;Nombre del organismo;A駉 Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;2065091;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;0;0;0;0;0;0;5693310;994000;64079
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;706666;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos de Personal;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Pagina Gastos del Partido/2016;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;315000;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;3884468;3897249;3907118;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;30517827;17678729;43753880;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos de Personal;Pesos;0;0;0;40888790;38848584;40937897;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2017;Abr - Jun;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;5437419;8747713;3874237;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;2000000;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;60970186;33041194;39217334;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos de Personal;Pesos;50687305;27728047;45544713;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Enero -Marzo;PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;3901310;3893415;3901390;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
Gastos del partido pol韙ico/Gastos del partido pol韙ico a駉 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2017;Jul - Sep;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
