Código del organismo;Nombre del organismo;Nombre completo;Sigla;Lema del Partido Político
.csv;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);Movimiento Independiente Regionalista Agrario y Social;MIRAS;Sin informacin
.csv;PP007;Partido Comunista de Chile (PCCH);Partido Comunista de Chile;PCCH;Viva la gente
.csv;PP009;Partido Demcrata Cristiano (P.D.C.);PARTIDO DEMCRATA CRISTIANO;PDC;EL PARTIDO NO TIENE LEMA
.csv;PP011;Partido Evolucin Poltica (Evpoli);Partido Evolucin Poltica;Evpoli;Por un Chile ms libre, inclusivo y justo.
.csv;PP014;Partido Humanista (PH);Partido Humanista;PH;Algo ms que un Partido
.csv;PP019;Partido Por la Democracia (PPD);PARTIDO POR LA DEMOCRACIA;PPD;LA FUERZA DEL CAMBIO
.csv;PP021;Partido Progresista (PRO);Partido Progresista;PRO;Partido Progresista
.csv;PP021;Partido Progresista (PRO);PARTIDO PROGRESISTA CHILE;PRO;Partido Progresista
.csv;PP022;Partido Radical Socialdemcrata (PRSD);Partido Radical Socialdemcrata;PRSD;Con la fuerza del progreso, construyamos junto un pas para todos
.csv;PP025;Partido Socialista de Chile PS;Partido Socialista de Chile;PS;No tiene
.csv;PP026;Partido Unin Demcrata Independiente - UDI;Unin Demcrata Independiente;UDI;UDI el partido popular
.csv;PP027;Partido Poder Ciudadano;Poder Ciudadano;Sin informacin;Es tiempo de gente comn
.csv;PP028;Partido Renovacin Nacional (RN);Partido Renovacin Nacional;RN;Sin Lema
.csv;PP029;Partido Revolucin Democrtica (RD);Revolucin Democrtica;RD;Crear para creer
.csv;PP031;Partido Todos;PARTIDO TODOS;TODOS;TODOS PARA CHILE
.csv;PP033;Partido Amplitud;Partido Amplitud;PA;Libertad, Democracia y Justicia
.csv;PP034;Partido Federacin Regionalista Verde Social (FREVS);Partido Federacin Regionalista Verde Social;FREVS;Regionalizar para Desarrollar
.csv;PP039;Partido Igualdad;Partido Igualdad;Igualdad;Igualdad Para Chile
.csv;PP040;Partido Izquierda Ciudadana;Partido Izquierda Ciudadana de Chile;IC;Por un partido de ciudadanas y ciudadanos
.csv;PP046;Partido Pais;Pas;PAIS;Siempre por Chile
.csv;PP047;Partido de Trabajadores Revolucionarios;Partido de Trabajadores Revolucionarios;PTR;Por un gobierno de los trabajadores
.csv;PP049;Partido ANDHA Chile;Partido Andha Chile;Andha Chile;Andha por tus Derechos
.csv;PP050;Partido Regionalista Independiente PRI;Partido Regionalista Independiente;PRI;Nuevo Centro Social Cristiano
.csv;PP052;Partido Pais Progresista;Partido Pas Progresista;PRO;Pas Progresista
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);Movimiento Independiente Regionalista Agrario y Social;MIRAS;Sin información
PP007;Partido Comunista de Chile (PCCH);Partido Comunista de Chile;PCCH;Viva la gente
PP009;Partido Demócrata Cristiano (PDC);PARTIDO DEMÓCRATA CRISTIANO;PDC;EL PARTIDO NO TIENE LEMA
PP011;Partido Evolución Política (Evópoli);Partido Evolución Política;Evópoli;Por un Chile libre, inclusivo y justo
PP014;Partido Humanista (PH);Partido Humanista;PH;No tiene
PP019;Partido Por la Democracia (PPD);PARTIDO POR LA DEMOCRACIA;PPD ;LA FUERZA DEL CAMBIO
PP021;Partido Progresista (PRO);Partido Progresista;PRO;Partido Progresista
PP021;Partido Progresista (PRO);PARTIDO PROGRESISTA CHILE;PRO;Partido Progresista
PP022;Partido Radical de Chile;Partido Radical de Chile;PR;"Con la fuerza del progreso, construyamos juntos un país para todos"
PP025;Partido Socialista de Chile PS;Partido Socialista de Chile;PS;No tiene
PP025;Partido Socialista de Chile PS;Simbolo;https://portal.pschile.cl/?page_id=7997&preview=true;No tiene
PP026;Partido Unión Demócrata Independiente - UDI;Unión Demócrata Independiente;UDI;UDI el partido popular
PP027;Partido Poder Ciudadano;Poder Ciudadano;Sin información;Es tiempo de gente común
PP028;Partido Renovación Nacional (RN);Partido Renovación Nacional;RN;Sin Lema
PP029;Partido Revolución Democrática (RD);Revolución Democrática;RD;Crear para creer
PP031;Partido Todos;PARTIDO TODOS;TODOS;TODOS PARA CHILE
PP033;Partido Amplitud;Partido Amplitud;PA;Libertad, Democracia y Justicia
PP034;Partido Federación Regionalista Verde Social (FREVS);Partido Federación Regionalista Verde Social;FREVS;Regionalizar para Desarrollar
PP039;Partido Igualdad ](PI);Igualdad;Igualdad;Igualdad Para Chile
PP040;Partido Izquierda Ciudadana;Partido Izquierda Ciudadana de Chile;IC;Por un partido de ciudadanas y ciudadanos
PP046;Partido Pais;País;PAIS;Siempre por Chile
PP047;Partido de Trabajadores Revolucionarios;Partido de Trabajadores Revolucionarios;PTR;Por un gobierno de los trabajadores
PP049;Partido ANDHA Chile;Partido Andha Chile;Andha Chile;Andha por tus Derechos
PP052;Partido Pais Progresista;Partido País Progresista;PRO;País Progresista
PP053;Partido Izquierda Anticapitalista de los Trabajadores (IAT);IZQUIERDA ANTICAPITALISTA DE LOS TRABAJADORES;IAT;POR UN GOBIERNO DE LOS TRABAJADORES
PP054;Partido Regionalista Independiente Demócrata (PRID);Partido Regionalista Independiente Demócrata;PRI Demócrata;Junto a la clase media popular
