"codigoPasivo","pasivo","codigoOrganismo","organismo","cargo","codigoAudiencia"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0039441"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0039171"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0039271"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0039601"
"AG00363548","Mabel Natali Iturrieta Bascuñán","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0032903101"
"CO002796","Blanca Palumbo Ossa","co002","PANEL DE EXPERTOS LEY GENERAL DE SERVICIOS ELÉCTRICOS LEY Nº 19.940","Integrante Panel de Expertos de la Ley General de Servicios Eléctricos N° 19.940.","co0023054161"
"NR001883","Ricardo Guzman Sanza","nr001","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","Director Corporación Administrativa del Poder Judicial","nr0013736431"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012908121"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012908091"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012908151"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012908171"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012915571"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012940601"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221461"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221501"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221511"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221551"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221561"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221601"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221611"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221651"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221841"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012908131"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012915511"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012915601"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0012940621"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013056721"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013221531"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013014531"
"BC001205279","Consuelo Valdés Chadwick","bc001","Subsecretaria de las Culturas, las Artes y el Patrimonio","Ministro","bc0013014551"
"AB001173929","Andrés Chadwick Piñera","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0013104231"
"AB001173929","Andrés Chadwick Piñera","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0013024841"
"AB001173929","Andrés Chadwick Piñera","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0013024871"
"AB001173929","Andrés Chadwick Piñera","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0013095781"
"AC001209498","Carolina Valdivia Torres","ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","Ministro","ac0012955571"
"AC001209498","Carolina Valdivia Torres","ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","Ministro","ac0013115851"
"AC001209498","Carolina Valdivia Torres","ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","Ministro","ac0012993231"
"AE001172759","Felipe Larraín Bascuñán","ae001","SUBSECRETARÍA DE HACIENDA","Ministro","ae0012961231"
