"codigoPasivo","pasivo","codigoOrganismo","organismo","cargo","codigoAudiencia"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0033451"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0033561"
"NR00353","Mario Marcel Cullell","nr003","BANCO CENTRAL","Presidente Banco Central","nr0033581"
"AG00363523","Oscar Reyes Peña","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0031840501"
"AG00363523","Oscar Reyes Peña","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0031840561"
"AG00363523","Oscar Reyes Peña","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0031840771"
"AG00363523","Oscar Reyes Peña","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0031840841"
"AG00363542","Hernán Ramiro Viguera Figueroa","ag003","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","Consejero del Consejo Nacional de Televisión","ag0031841461"
"AD02329042","Arturo Merino Núñez","ad023","ESTADO MAYOR CONJUNTO","Jefe del Estado Mayor Conjunto","ad0231611051"
"AD02329035","Rodrigo Javier Álvarez Aguirre","ad023","ESTADO MAYOR CONJUNTO","Subjefe del Estado Mayor Conjunto ","ad0232056921"
"AB0011130","Mahmud Aleuy Peña y Lillo","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0011671171"
"AB0011130","Mahmud Aleuy Peña y Lillo","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0012077731"
"AB0011130","Mahmud Aleuy Peña y Lillo","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0012077691"
"AB00151083","Mario Fernandez Baeza","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0011501411"
"AB00151083","Mario Fernandez Baeza","ab001","SUBSECRETARÍA DEL INTERIOR","Ministro","ab0011518161"
"AC001497","Heraldo Muñoz Valenzuela","ac001","SUBSECRETARÍA DE RELACIONES EXTERIORES","Ministro","ac0011525571"
"AE0014727","Rodrigo Valdés Pulido","ae001","SUBSECRETARÍA DE HACIENDA","Ministro","ae0011577291"
"AE0014727","Rodrigo Valdés Pulido","ae001","SUBSECRETARÍA DE HACIENDA","Ministro","ae0011577341"
"AE0014727","Rodrigo Valdés Pulido","ae001","SUBSECRETARÍA DE HACIENDA","Ministro","ae0011593881"
"AF0017028","Nicolás Eyzaguirre Guzmán","af001","SUBSECRETARÍA GENERAL DE LA PRESIDENCIA","Ministro","af0011546501"
"AG00178564","Paula Verónica Narváez Ojeda","ag001","SUBSECRETARIA GENERAL DE GOBIERNO","Ministro","ag0012066851"
"AG00178564","Paula Verónica Narváez Ojeda","ag001","SUBSECRETARIA GENERAL DE GOBIERNO","Ministro","ag0012066861"
"AG00178564","Paula Verónica Narváez Ojeda","ag001","SUBSECRETARIA GENERAL DE GOBIERNO","Ministro","ag0012066751"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011470081"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011470171"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011489681"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011510581"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011527101"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011552121"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011552161"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011565291"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011565351"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011675011"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011700071"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011771491"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011778371"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011778391"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011470221"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011489661"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011565281"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011597101"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011597111"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011617081"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011724051"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011778381"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011552151"
"AH00178","Luis Felipe Céspedes Cifuentes","ah001","SUBSECRETARÍA DE ECONOMÍA","Ministro","ah0011585581"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071514891"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071596611"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071632521"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071701761"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071702151"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071736351"
"AI0074405","Marcos Barraza Gómez","ai007","SUBSECRETARIA DE EVALUACIÓN SOCIAL","Ministro","ai0071595731"
"AJ0017135","CARMEN ADRIANA DELPIANO PUELMA","aj001","SUBSECRETARÍA DE EDUCACIÓN","Ministro","aj0011621411"
"AJ0017135","CARMEN ADRIANA DELPIANO PUELMA","aj001","SUBSECRETARÍA DE EDUCACIÓN","Ministro","aj0011802111"
"AK00174719","JAIME CAMPOS QUIROGA","ak001","SUBSECRETARÍA DE JUSTICIA","Ministro","ak0011554891"
"AK00174719","JAIME CAMPOS QUIROGA","ak001","SUBSECRETARÍA DE JUSTICIA","Ministro","ak0011635441"
"AK00174719","JAIME CAMPOS QUIROGA","ak001","SUBSECRETARÍA DE JUSTICIA","Ministro","ak0011712521"
"AL00178633","Alejandra Krauss Valle","al001","SUBSECRETARÍA DEL TRABAJO","Ministro","al0011642311"
