"uriPasivo","codigoPasivo","uriPersona","codigoPersona","nombrePasivo","organismo","IDORPortal","cargo","inicioPasivo","finPasivo"
"http://datos.infolobby.cl/infolobby/pasivo/AG00363541","AG00363541","http://datos.infolobby.cl/infolobby/persona/aca31f0c90be1b5a910414e99fc4f408","aca31f0c90be1b5a910414e99fc4f408","María Elena Hermosilla Pacheco","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","ag003","Consejero del Consejo Nacional de Televisión",2011-01-18,2019-01-24
"http://datos.infolobby.cl/infolobby/pasivo/AH00178","AH00178","http://datos.infolobby.cl/infolobby/persona/026dbb546a33f58b431093bf7d58577c","026dbb546a33f58b431093bf7d58577c","Luis Felipe Céspedes Cifuentes","SUBSECRETARÍA DE ECONOMÍA","ah001","Ministro",2014-03-11,2017-08-31
"http://datos.infolobby.cl/infolobby/pasivo/AB08114458","AB08114458","http://datos.infolobby.cl/infolobby/persona/1fbb87df01f7d6b2b0aedb6dbbb0c6f9","1fbb87df01f7d6b2b0aedb6dbbb0c6f9","Manuel Hernández Vidal","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2018-03-10
"http://datos.infolobby.cl/infolobby/pasivo/AB07911195","AB07911195","http://datos.infolobby.cl/infolobby/persona/422a9826e8dd343a088ced1a6d162ae9","422a9826e8dd343a088ced1a6d162ae9","Fernando Gallardo Pereira","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2016-07-27
"http://datos.infolobby.cl/infolobby/pasivo/AB07714127","AB07714127","http://datos.infolobby.cl/infolobby/persona/646308647bc725ac454dccb0b28baf93","646308647bc725ac454dccb0b28baf93","Guibaldo Ernesto Ormazábal Arancibia","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2018-03-10
"http://datos.infolobby.cl/infolobby/pasivo/AB08114444","AB08114444","http://datos.infolobby.cl/infolobby/persona/80660e68660843f3b15e5f7527a03528","80660e68660843f3b15e5f7527a03528","Jaime Escudero Ramos","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07911384","AB07911384","http://datos.infolobby.cl/infolobby/persona/9391c54303abb2c99b71f6728559a54a","9391c54303abb2c99b71f6728559a54a","Eduardo Alcayaga Cortés","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2018-03-11
"http://datos.infolobby.cl/infolobby/pasivo/AB08114505","AB08114505","http://datos.infolobby.cl/infolobby/persona/836971bbda21d0386ad9d3235bbf57d2","836971bbda21d0386ad9d3235bbf57d2","Juan Pablo Saez Rey","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2018-03-10
"http://datos.infolobby.cl/infolobby/pasivo/AB08114514","AB08114514","http://datos.infolobby.cl/infolobby/persona/b0741cca847e82526794b27851882281","b0741cca847e82526794b27851882281","Jaime Manuel Tohá González","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07714134","AB07714134","http://datos.infolobby.cl/infolobby/persona/e6c30ff575cb85333dc881c767b5e4bc","e6c30ff575cb85333dc881c767b5e4bc","Sandra Isabel Pastenes Muñoz","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2022-03-11
