"uriPasivo","codigoPasivo","uriPersona","codigoPersona","nombrePasivo","organismo","IDORPortal","cargo","inicioPasivo","finPasivo"
"http://datos.infolobby.cl/infolobby/pasivo/AB08114444","AB08114444","http://datos.infolobby.cl/infolobby/persona/80660e68660843f3b15e5f7527a03528","80660e68660843f3b15e5f7527a03528","Jaime Escudero Ramos","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB08114514","AB08114514","http://datos.infolobby.cl/infolobby/persona/b0741cca847e82526794b27851882281","b0741cca847e82526794b27851882281","Jaime Manuel Tohá González","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07714024","AB07714024","http://datos.infolobby.cl/infolobby/persona/4de363559e1d6160b5274a48321ac203","4de363559e1d6160b5274a48321ac203","Mario Gilberto Acuña Villalobos","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2019-10-24
"http://datos.infolobby.cl/infolobby/pasivo/AB07714152","AB07714152","http://datos.infolobby.cl/infolobby/persona/d01db42d378e39d5c827e8fa7812b389","d01db42d378e39d5c827e8fa7812b389","CONSTANTINO  ALEJANDRO  ZAFIROPULOS BOSSY ","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2016-11-16
"http://datos.infolobby.cl/infolobby/pasivo/AB08114521","AB08114521","http://datos.infolobby.cl/infolobby/persona/5823ed9f2684e60cd6f092de48601680","5823ed9f2684e60cd6f092de48601680","Paula Zúñiga Calderón","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-17
"http://datos.infolobby.cl/infolobby/pasivo/AB08114462","AB08114462","http://datos.infolobby.cl/infolobby/persona/06eaf2de2f6308bdb02e9f4c8f3867e6","06eaf2de2f6308bdb02e9f4c8f3867e6","Rafael Izquierdo García-Huidobro","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB07911200","AB07911200","http://datos.infolobby.cl/infolobby/persona/a4aba11117a854de15155c11e3e72dd5","a4aba11117a854de15155c11e3e72dd5","Denis Cortés Aguilera","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB08114467","AB08114467","http://datos.infolobby.cl/infolobby/persona/e5fd57e9e5c8653771758c38155a569f","e5fd57e9e5c8653771758c38155a569f","Karin Luck Urban","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2016-11-17
"http://datos.infolobby.cl/infolobby/pasivo/AB07714061","AB07714061","http://datos.infolobby.cl/infolobby/persona/c3e9538b2042a0fe98a45dac4bb7266c","c3e9538b2042a0fe98a45dac4bb7266c","LUIS ANDRES CAPRIOGLIO RABELLO ","GOBIERNO REGIONAL REGIÓN DE ANTOFAGASTA","ab077","Consejero regional",2014-03-11,2016-11-18
"http://datos.infolobby.cl/infolobby/pasivo/AB093655","AB093655","http://datos.infolobby.cl/infolobby/persona/6c4a51de80a88d38d39062a6655602d6","6c4a51de80a88d38d39062a6655602d6","Antonio Frey Valdés","SUBSECRETARÍA DE PREVENCIÓN DE DELITOS","ab093","Subsecretario",2014-03-11,2016-10-26
"http://datos.infolobby.cl/infolobby/pasivo/AD02268","AD02268","http://datos.infolobby.cl/infolobby/persona/8df8c9a5bb57b53160768e2513f93fde","8df8c9a5bb57b53160768e2513f93fde","Gabriel  Gaspar Tapia","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Subsecretario",2014-03-11,2015-10-21
"http://datos.infolobby.cl/infolobby/pasivo/AH011771","AH011771","http://datos.infolobby.cl/infolobby/persona/e340d35a0adb626e089966d22f15036b","e340d35a0adb626e089966d22f15036b","Verónica Ilse Kunze Neubauer","SUBSECRETARÍA DE TURISMO","ah011","Subsecretario",2014-12-01,2014-12-01
"http://datos.infolobby.cl/infolobby/pasivo/AF001220","AF001220","http://datos.infolobby.cl/infolobby/persona/f781617f9f38424c4437357d2a81b582","f781617f9f38424c4437357d2a81b582","PATRICIA ELIZABETH MARTA  SILVA MELENDEZ","SUBSECRETARÍA GENERAL DE LA PRESIDENCIA","af001","Subsecretario",2014-11-27,2016-10-26
"http://datos.infolobby.cl/infolobby/pasivo/AD00833","AD00833","http://datos.infolobby.cl/infolobby/persona/29ff4131029c58812bfc73e937288c6c","29ff4131029c58812bfc73e937288c6c","Jorge Robles Mella","FUERZA AÉREA DE CHILE","ad008","Comandante en Jefe",2014-11-05,2018-11-05
