"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/406996","PABLO ALVAREZ  TUZA","http://www.infolobby.cl/Ficha/SujetoActivo/ed59d89e223c0bd231f807f98572ae0d","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/ed59d89e223c0bd231f807f98572ae0d","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0011180531","ed59d89e223c0bd231f807f98572ae0d","Pablo Álvarez Tuza","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab001","nodeID://b1726842316","SUBSECRETARÍA DEL INTERIOR","ab001","nodeID://b1743406942",2016,3
"http://datos.infolobby.cl/infolobby/Activo/330393","Guillermo Turner","http://www.infolobby.cl/Ficha/SujetoActivo/f295b6b0dbe359d60da5365f636cba16","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f295b6b0dbe359d60da5365f636cba16","http://datos.infolobby.cl/infolobby/registroaudiencia/ab001895821","f295b6b0dbe359d60da5365f636cba16","Guillermo Turner","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab001","nodeID://b1726784666","SUBSECRETARÍA DEL INTERIOR","ab001","nodeID://b1743378117",2016,3
"http://datos.infolobby.cl/infolobby/Activo/329267","Nicole Salinas Contreras","http://www.infolobby.cl/Ficha/SujetoActivo/b0f27fd879af4976a410d77dd14aa289","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/b0f27fd879af4976a410d77dd14aa289","http://datos.infolobby.cl/infolobby/registroaudiencia/ab002890951","b0f27fd879af4976a410d77dd14aa289","Nicole Salinas Contreras","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab002","nodeID://b1726783722","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","ab002","nodeID://b1743377645",2016,3
"http://datos.infolobby.cl/infolobby/Activo/1478083","Rodrigo Antonio Moreno Moreno","http://www.infolobby.cl/Ficha/SujetoActivo/f4551bc4596a761342e3d5cbe3cd4b70","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f4551bc4596a761342e3d5cbe3cd4b70","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0021067741","f4551bc4596a761342e3d5cbe3cd4b70","Rodrigo Antonio Moreno Moreno","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab002","nodeID://b1727070516","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","ab002","nodeID://b1743521042",2016,3
"http://datos.infolobby.cl/infolobby/Activo/351402","ALVARO IRIGOYEN GONZALEZ","http://www.infolobby.cl/Ficha/SujetoActivo/099d5b94327eba434f3ef5e1168b3185","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/099d5b94327eba434f3ef5e1168b3185","http://datos.infolobby.cl/infolobby/registroaudiencia/ab004975071","099d5b94327eba434f3ef5e1168b3185","ALVARO IRIGOYEN GONZALEZ","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726800588","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743386078",2016,3
"http://datos.infolobby.cl/infolobby/Activo/323738","Héctor Francisco Oyarzo León","http://www.infolobby.cl/Ficha/SujetoActivo/932c1fa6bf49e31d3d9e7f7dd3c05f42","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/932c1fa6bf49e31d3d9e7f7dd3c05f42","http://datos.infolobby.cl/infolobby/registroaudiencia/ab004868211","932c1fa6bf49e31d3d9e7f7dd3c05f42","Héctor Francisco Oyarzo León","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726779366","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743375467",2016,3
"http://datos.infolobby.cl/infolobby/Activo/375632","José Eduardo Burdiles Bizama","http://www.infolobby.cl/Ficha/SujetoActivo/f17a98f48568a9a71eda79abe5b05214","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f17a98f48568a9a71eda79abe5b05214","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0041064961","f17a98f48568a9a71eda79abe5b05214","José Eduardo Burdiles Bizama","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726818492","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743395030",2016,3
"http://datos.infolobby.cl/infolobby/Activo/356365","Sebastian Zahr Spoerer","http://www.infolobby.cl/Ficha/SujetoActivo/1fd8ad75cfca333f6be227f128e7adef","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/1fd8ad75cfca333f6be227f128e7adef","http://datos.infolobby.cl/infolobby/registroaudiencia/ab004996211","1fd8ad75cfca333f6be227f128e7adef","Sebastian Zahr Spoerer","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726804674","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743388121",2016,3
"http://datos.infolobby.cl/infolobby/Activo/369799","Mauricio Ortiz","http://www.infolobby.cl/Ficha/SujetoActivo/bc8861220dfbec64bc0aeaa847951fe6","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/bc8861220dfbec64bc0aeaa847951fe6","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0081074511","bc8861220dfbec64bc0aeaa847951fe6","Mauricio OrtizJara","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab008","nodeID://b1726814130","INTENDENCIA REGIÓN DE ANTOFAGASTA","ab008","nodeID://b1743392849",2016,3
"http://datos.infolobby.cl/infolobby/Activo/369800","Solange del Carmen Medina Espinoza","http://www.infolobby.cl/Ficha/SujetoActivo/794ac287f059ae1dbd6f3d3d2a02e32a","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/794ac287f059ae1dbd6f3d3d2a02e32a","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0081074511","794ac287f059ae1dbd6f3d3d2a02e32a","Solange MedinaEspinoza","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab008","nodeID://b1726814130","INTENDENCIA REGIÓN DE ANTOFAGASTA","ab008","nodeID://b1743392849",2016,3
