"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/2095409","Alex Nicolás Cáceres Leiva","http://www.infolobby.cl/Ficha/SujetoActivo/dbbdda565d7980b89c692f50c1547a15","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/dbbdda565d7980b89c692f50c1547a15","http://datos.infolobby.cl/infolobby/registroaudiencia/am0053745121","dbbdda565d7980b89c692f50c1547a15","Alex Nicolás Cáceres Leiva","Lobista","http://datos.infolobby.cl/infolobby/institucion/am005","nodeID://b1727347720","DIRECCIÓN DE ARQUITECTURA DEL MINISTERIO DE OBRAS PÚBLICAS","am005","nodeID://b1743659644",2019,1
"http://datos.infolobby.cl/infolobby/Activo/2106356","ANDREA MARGARITA ALVAREZ HALLES","http://www.infolobby.cl/Ficha/SujetoActivo/176624beb63e44bc1379dbcd9a3db373","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/176624beb63e44bc1379dbcd9a3db373","http://datos.infolobby.cl/infolobby/registroaudiencia/mu0673744841","176624beb63e44bc1379dbcd9a3db373","ANDREA MARGARITA ALVAREZ HALLES","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu067","nodeID://b1727354834","MUNICIPALIDAD DE COQUIMBO","mu067","nodeID://b1743663201",2019,1
"http://datos.infolobby.cl/infolobby/Activo/2112098","Alex Nicolás Cáceres Leiva","http://www.infolobby.cl/Ficha/SujetoActivo/dbbdda565d7980b89c692f50c1547a15","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/dbbdda565d7980b89c692f50c1547a15","http://datos.infolobby.cl/infolobby/registroaudiencia/mu2803729831","dbbdda565d7980b89c692f50c1547a15","Alex Nicolás Cáceres Leiva","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu280","nodeID://b1727359130","MUNICIPALIDAD DE SAN ANTONIO","mu280","nodeID://b1743665349",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1813414","Patricio Andres Cepeda Ramos","http://www.infolobby.cl/Ficha/SujetoActivo/fe9f1864705667d61b6cd290325a76ae","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/fe9f1864705667d61b6cd290325a76ae","http://datos.infolobby.cl/infolobby/registroaudiencia/aj0163145921","fe9f1864705667d61b6cd290325a76ae","Patricio Andres Cepeda Ramos","Lobista","http://datos.infolobby.cl/infolobby/institucion/aj016","nodeID://b1727241330","Servicio Local de Educación Pública de Barrancas","aj016","nodeID://b1743606449",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1841416","Alejandra Jiménez Castro","http://www.infolobby.cl/Ficha/SujetoActivo/c2c8f67ae9c06072aa4037e07c079a23","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/c2c8f67ae9c06072aa4037e07c079a23","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013221471","c2c8f67ae9c06072aa4037e07c079a23","Alejandra Jiménez Castro","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727258634","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743615101",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1813527","jaime cheuquelaf","http://www.infolobby.cl/Ficha/SujetoActivo/14a17ef39841e095e81232199c588ca8","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/14a17ef39841e095e81232199c588ca8","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013182791","14a17ef39841e095e81232199c588ca8","jaime cheuquelaf","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727241444","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743606506",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1813528","paola almonacid","http://www.infolobby.cl/Ficha/SujetoActivo/328c41fe4fa591f6308a0e2ca6c4a9a9","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/328c41fe4fa591f6308a0e2ca6c4a9a9","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013182791","328c41fe4fa591f6308a0e2ca6c4a9a9","paola almonacid","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727241444","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743606506",2019,1
"http://datos.infolobby.cl/infolobby/Activo/2042335","Francisca Mourin Ceballos Muñoz","http://www.infolobby.cl/Ficha/SujetoActivo/201d9305b00ec5663306eb847c5d462b","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/201d9305b00ec5663306eb847c5d462b","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013573261","201d9305b00ec5663306eb847c5d462b","Francisca Mourin Ceballos Muñoz","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727318650","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743645109",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1940611","María Carolina Simpson Rosende","http://www.infolobby.cl/Ficha/SujetoActivo/5ecb9fa954be782efedc25375bbf6a45","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/5ecb9fa954be782efedc25375bbf6a45","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013377311","5ecb9fa954be782efedc25375bbf6a45","María Carolina Simpson Rosende","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727284758","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743628163",2019,1
"http://datos.infolobby.cl/infolobby/Activo/1813561","Andrea Valeria Uribe","http://www.infolobby.cl/Ficha/SujetoActivo/931fa72abb593bacb8ffb252e9c710dd","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/931fa72abb593bacb8ffb252e9c710dd","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0013142671","931fa72abb593bacb8ffb252e9c710dd","Andrea Valeria Uribe","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727241480","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743606524",2019,1
