"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/21406","MARIA TERESA ARANA","http://www.infolobby.cl/Ficha/SujetoActivo/0ff7013f0c17c239b7f9cb3a50c4d158","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/0ff7013f0c17c239b7f9cb3a50c4d158","http://datos.infolobby.cl/infolobby/registroaudiencia/ab00127471","0ff7013f0c17c239b7f9cb3a50c4d158","MARIA TERESA ARANA SILVA","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab001","nodeID://b1726609514","SUBSECRETARÍA DEL INTERIOR","ab001","nodeID://b1743290541",2015,2
"http://datos.infolobby.cl/infolobby/Activo/21405","FERNANDO RAGA C.","http://www.infolobby.cl/Ficha/SujetoActivo/3141e18e9957b8f46a3638db1de8a27c","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/3141e18e9957b8f46a3638db1de8a27c","http://datos.infolobby.cl/infolobby/registroaudiencia/ab00127471","3141e18e9957b8f46a3638db1de8a27c","FERNANDO RAGA C.","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab001","nodeID://b1726609514","SUBSECRETARÍA DEL INTERIOR","ab001","nodeID://b1743290541",2015,2
"http://datos.infolobby.cl/infolobby/Activo/15901","REMZA DELIC SASSO","http://www.infolobby.cl/Ficha/SujetoActivo/03b79e340c5f9e43ee0260fd8402b005","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/03b79e340c5f9e43ee0260fd8402b005","http://datos.infolobby.cl/infolobby/registroaudiencia/ab00415901","03b79e340c5f9e43ee0260fd8402b005","REMZA DELIC SASSO","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726607572","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743289570",2015,2
"http://datos.infolobby.cl/infolobby/Activo/15854","JORGE CORTEZ PROBOSTE","http://www.infolobby.cl/Ficha/SujetoActivo/dc9089a7c5b772dd8116d3737fe59c11","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/dc9089a7c5b772dd8116d3737fe59c11","http://datos.infolobby.cl/infolobby/registroaudiencia/ab00415721","dc9089a7c5b772dd8116d3737fe59c11","JORGE CORTEZ PROBOSTE","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726607536","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743289552",2015,2
"http://datos.infolobby.cl/infolobby/Activo/51979","Gabriela Meza Hernandez","http://www.infolobby.cl/Ficha/SujetoActivo/904f3a3f451aa5d58dd47f584aebaebd","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/904f3a3f451aa5d58dd47f584aebaebd","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0078311","904f3a3f451aa5d58dd47f584aebaebd","Gabriela Meza Hernandez","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab007","nodeID://b1726616558","INTENDENCIA REGIÓN DE ARICA – PARINACOTA","ab007","nodeID://b1743294063",2015,2
"http://datos.infolobby.cl/infolobby/Activo/161878","ALBERTO QUIÑONES MORAGA","http://www.infolobby.cl/Ficha/SujetoActivo/492bc58714432533f33e845f637b9c4a","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/492bc58714432533f33e845f637b9c4a","http://datos.infolobby.cl/infolobby/registroaudiencia/ab010152341","492bc58714432533f33e845f637b9c4a","ALBERTO QUIÑONES MORAGA","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab010","nodeID://b1726679856","INTENDENCIA REGIÓN DE AYSÉN","ab010","nodeID://b1743325712",2015,2
"http://datos.infolobby.cl/infolobby/Activo/21391","Héctor Gustavo Vega Jofré","http://www.infolobby.cl/Ficha/SujetoActivo/38254d73acff76346fd5db2f871d3957","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/38254d73acff76346fd5db2f871d3957","http://datos.infolobby.cl/infolobby/registroaudiencia/ab01127421","38254d73acff76346fd5db2f871d3957","Héctor Gustavo Vega Jofré","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab011","nodeID://b1726609504","INTENDENCIA REGIÓN DE COQUIMBO","ab011","nodeID://b1743290536",2015,2
"http://datos.infolobby.cl/infolobby/Activo/21886","Patricia Muñoz","http://www.infolobby.cl/Ficha/SujetoActivo/c441689b92b7aaac18374673a956bbc2","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/c441689b92b7aaac18374673a956bbc2","http://datos.infolobby.cl/infolobby/registroaudiencia/ab01429331","c441689b92b7aaac18374673a956bbc2","Patricia Muñoz","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab014","nodeID://b1726609844","INTENDENCIA REGIÓN DE LOS RÍOS","ab014","nodeID://b1743290706",2015,2
"http://datos.infolobby.cl/infolobby/Activo/21885","Fernanda Narvaez","http://www.infolobby.cl/Ficha/SujetoActivo/f1d9cf92206d02a24e54be54cda65628","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f1d9cf92206d02a24e54be54cda65628","http://datos.infolobby.cl/infolobby/registroaudiencia/ab01429331","f1d9cf92206d02a24e54be54cda65628","Fernanda Narvaez","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab014","nodeID://b1726609844","INTENDENCIA REGIÓN DE LOS RÍOS","ab014","nodeID://b1743290706",2015,2
"http://datos.infolobby.cl/infolobby/Activo/1477816","Fernando Valdés Ossa","http://www.infolobby.cl/Ficha/SujetoActivo/b4f255c0ce404274b9f18b10366d8cc4","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/b4f255c0ce404274b9f18b10366d8cc4","http://datos.infolobby.cl/infolobby/registroaudiencia/ab01429351","b4f255c0ce404274b9f18b10366d8cc4","Fernando Valdés Ossa","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab014","nodeID://b1727070258","INTENDENCIA REGIÓN DE LOS RÍOS","ab014","nodeID://b1743520913",2015,2
