"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/1261819","José Andrés Gallardo Basualdo","http://www.infolobby.cl/Ficha/SujetoActivo/e203466cc8851f06348650844304df48","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/e203466cc8851f06348650844304df48","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0042282651","e203466cc8851f06348650844304df48","José Andrés Gallardo Basualdo","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab004","nodeID://b1726961378","OFICINA NACIONAL DE EMERGENCIA (ONEMI)","ab004","nodeID://b1743466473",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1261884","Alejandra Marcela Wulf Pérez","http://www.infolobby.cl/Ficha/SujetoActivo/0f9d94286c5571b44451d410778c619c","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/0f9d94286c5571b44451d410778c619c","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0142334121","0f9d94286c5571b44451d410778c619c","Alejandra Marcela Wulf Pérez","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab014","nodeID://b1726961416","INTENDENCIA REGIÓN DE LOS RÍOS","ab014","nodeID://b1743466492",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1240978","Miguel Angel Cardenas Salazar","http://www.infolobby.cl/Ficha/SujetoActivo/5bf56cea087d3c42b3bab329f983b564","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/5bf56cea087d3c42b3bab329f983b564","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0152351961","5bf56cea087d3c42b3bab329f983b564","Miguel Angel Cardenas Salazar","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab015","nodeID://b1726944442","INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA","ab015","nodeID://b1743458005",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1261918","Bárbara Emilia Salgado Díaz","http://www.infolobby.cl/Ficha/SujetoActivo/5e1e86f4b9615998579617f06ded6af5","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/5e1e86f4b9615998579617f06ded6af5","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0152330691","5e1e86f4b9615998579617f06ded6af5","Barbara SalgadoDiaz","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab015","nodeID://b1726961436","INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA","ab015","nodeID://b1743466502",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1261903","Patricio Alejandro Morales Peralta","http://www.infolobby.cl/Ficha/SujetoActivo/f9cbce1ea8835c093b141430835b66f0","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f9cbce1ea8835c093b141430835b66f0","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0152330611","f9cbce1ea8835c093b141430835b66f0","Patricio Alejandro Morales Peralta","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab015","nodeID://b1726961428","INTENDENCIA REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA","ab015","nodeID://b1743466498",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1262046","MAURICIO JAVIER PALMA ZARATE","http://www.infolobby.cl/Ficha/SujetoActivo/681f3a9550c41f8f94587a82b8fc7944","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/681f3a9550c41f8f94587a82b8fc7944","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0182327311","681f3a9550c41f8f94587a82b8fc7944","MAURICIO JAVIER PALMA ZARATE","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab018","nodeID://b1726961550","INTENDENCIA REGIÓN DE VALPARAÍSO","ab018","nodeID://b1743466559",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1262130","José Andrés Gallardo Basualdo","http://www.infolobby.cl/Ficha/SujetoActivo/e203466cc8851f06348650844304df48","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/e203466cc8851f06348650844304df48","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0212333461","e203466cc8851f06348650844304df48","José Andrés Gallardo Basualdo","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab021","nodeID://b1726961614","INTENDENCIA REGIÓN METROPOLITANA DE SANTIAGO","ab021","nodeID://b1743466591",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1262167","MARIA IGNACIA FERNANDEZ ZENTENO","http://www.infolobby.cl/Ficha/SujetoActivo/14da2635da67758050565be216ae82b2","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/14da2635da67758050565be216ae82b2","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0652330821","14da2635da67758050565be216ae82b2","MARIA IGNACIA FERNANDEZ ZENTENO","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab065","nodeID://b1726961650","GOBERNACIÓN PROVINCIAL DE ÚLTIMA ESPERANZA","ab065","nodeID://b1743466609",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1276158","Carlos Roberto Brañez Reyes","http://www.infolobby.cl/Ficha/SujetoActivo/7366e27ac6136c45fdb8a0d0847c147f","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/7366e27ac6136c45fdb8a0d0847c147f","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0762263371","7366e27ac6136c45fdb8a0d0847c147f","Carlos Roberto Brañez Reyes","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab076","nodeID://b1726973318","GOBIERNO REGIONAL REGIÓN DE TARAPACÁ","ab076","nodeID://b1743472443",2018,1
"http://datos.infolobby.cl/infolobby/Activo/1276179","Natalia Zisis","http://www.infolobby.cl/Ficha/SujetoActivo/dc0892fd0ad6cce56ce658bf1965a7e8","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/dc0892fd0ad6cce56ce658bf1965a7e8","http://datos.infolobby.cl/infolobby/registroaudiencia/ab0782241941","dc0892fd0ad6cce56ce658bf1965a7e8","Natalia Zisis","Lobista","http://datos.infolobby.cl/infolobby/institucion/ab078","nodeID://b1726973340","GOBIERNO REGIONAL REGIÓN DE ATACAMA","ab078","nodeID://b1743472454",2018,1
