"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/2091813","Karen Montalva","http://www.infolobby.cl/Ficha/SujetoActivo/1ffa14de913b529841de085cfa38cb4e","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/1ffa14de913b529841de085cfa38cb4e","http://datos.infolobby.cl/infolobby/registroaudiencia/ae0122502011","1ffa14de913b529841de085cfa38cb4e","Karen Montalva","Lobista","http://datos.infolobby.cl/infolobby/institucion/ae012","nodeID://b1727345532","SUPERINTENDENCIA DE CASINOS DE JUEGO","ae012","nodeID://b1743658550",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1687473","Karina Córdova","http://www.infolobby.cl/Ficha/SujetoActivo/9603c5c63026ec1a9733363a73f717d9","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/9603c5c63026ec1a9733363a73f717d9","http://datos.infolobby.cl/infolobby/registroaudiencia/aj0162918041","9603c5c63026ec1a9733363a73f717d9","Karina Córdova","Lobista","http://datos.infolobby.cl/infolobby/institucion/aj016","nodeID://b1727193832","Servicio Local de Educación Pública de Barrancas","aj016","nodeID://b1743582700",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1687472","Jean Marilyn Coleman","http://www.infolobby.cl/Ficha/SujetoActivo/a647de0999bb003ece13dea502f70601","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/a647de0999bb003ece13dea502f70601","http://datos.infolobby.cl/infolobby/registroaudiencia/aj0162918041","a647de0999bb003ece13dea502f70601","Jean Marilyn Coleman","Lobista","http://datos.infolobby.cl/infolobby/institucion/aj016","nodeID://b1727193832","Servicio Local de Educación Pública de Barrancas","aj016","nodeID://b1743582700",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1687474","Mariano Squella","http://www.infolobby.cl/Ficha/SujetoActivo/1a1cef2b6549391909773ebebcc8375d","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/1a1cef2b6549391909773ebebcc8375d","http://datos.infolobby.cl/infolobby/registroaudiencia/aj0162918041","1a1cef2b6549391909773ebebcc8375d","Mariano Squella","Lobista","http://datos.infolobby.cl/infolobby/institucion/aj016","nodeID://b1727193832","Servicio Local de Educación Pública de Barrancas","aj016","nodeID://b1743582700",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1198750","Carlos Parker Grossi","http://www.infolobby.cl/Ficha/SujetoActivo/1fa443f79cb5b9a91b4fb389837a385a","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/1fa443f79cb5b9a91b4fb389837a385a","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012621011","1fa443f79cb5b9a91b4fb389837a385a","Carlos Parker Grossi","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1726917582","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743444575",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1198689","SONIA ISABEL MIRANDA ULLOA","http://www.infolobby.cl/Ficha/SujetoActivo/85bc7a2a6c0528291d58f11327a524b7","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/85bc7a2a6c0528291d58f11327a524b7","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012584391","85bc7a2a6c0528291d58f11327a524b7","Sonia Isabel Miranda Ulloa","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1726917528","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743444548",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1198748","hernan alberto lillo sepulveda","http://www.infolobby.cl/Ficha/SujetoActivo/a45e3c2cef8f5c6d0df647687c66076f","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/a45e3c2cef8f5c6d0df647687c66076f","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012591381","a45e3c2cef8f5c6d0df647687c66076f","hernan alberto lillo sepulveda","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1726917578","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743444573",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1687600","Leandro Henriquez Quezada","http://www.infolobby.cl/Ficha/SujetoActivo/eb485ecc5debe8adf81451497938e996","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/eb485ecc5debe8adf81451497938e996","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012888951","eb485ecc5debe8adf81451497938e996","Leandro Henriquez Quezada","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727193946","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743582757",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1641448","Mirko Bladimir Estanovicj Cáceres","http://www.infolobby.cl/Ficha/SujetoActivo/f47311ac39f9c9e2411c07b54bfd52b4","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/f47311ac39f9c9e2411c07b54bfd52b4","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012830501","f47311ac39f9c9e2411c07b54bfd52b4","Mirko Bladimir Estanovicj Cáceres","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1727183162","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743577365",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1179440","BERNARDO RODRIGO HERMOSILLA MONTALBAN","http://www.infolobby.cl/Ficha/SujetoActivo/a84bc4e138d86dcaab1d38a5f1493c76","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/a84bc4e138d86dcaab1d38a5f1493c76","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0012611751","a84bc4e138d86dcaab1d38a5f1493c76","BERNARDO RODRIGO HERMOSILLA MONTALBAN","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc001","nodeID://b1726900528","Subsecretaria de las Culturas, las Artes y el Patrimonio","bc001","nodeID://b1743436048",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1231879","Francisca Mourin Ceballos Muñoz","http://www.infolobby.cl/Ficha/SujetoActivo/201d9305b00ec5663306eb847c5d462b","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/201d9305b00ec5663306eb847c5d462b","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0032519431","201d9305b00ec5663306eb847c5d462b","Francisca Mourin Ceballos Muñoz","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc003","nodeID://b1726944180","Servicio Nacional del Patrimonio Cultural","bc003","nodeID://b1743457874",2018,2
"http://datos.infolobby.cl/infolobby/Activo/1198613","Waldo Gonzalo Fuenzalida Fuenzalida","http://www.infolobby.cl/Ficha/SujetoActivo/6fba55799c1879fb05e26ed8933afbaa","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/6fba55799c1879fb05e26ed8933afbaa","http://datos.infolobby.cl/infolobby/registroaudiencia/bc0032551351","6fba55799c1879fb05e26ed8933afbaa","Waldo Gonzalo Fuenzalida Fuenzalida","Lobista","http://datos.infolobby.cl/infolobby/institucion/bc003","nodeID://b1726917462","Servicio Nacional del Patrimonio Cultural","bc003","nodeID://b1743444515",2018,2
