"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"nr002262","VALPARAÍSO","RAMIRO MENDOZA ZUÑIGA","NR0021","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","CONTRALOR GENERAL",2015-04-07,2015-04-07,"OTRO - ",0,"   CONTRALORÍA GENERAL DE LA REPÚBLICA - "
"nr003302"," Temuco, CHILE. ","Sebastián  Claro Edwards","NR0030124560306-20","BANCO CENTRAL","nr003","Consejero Banco Central",2015-06-03,2015-06-04,"Presentación IPOM - ",139723,"   BANCO CENTRAL DE CHILE - "
"nr003312","Valparaíso, CHILE. ","Enrique Marshall Rivera","NR0030058185434-19","BANCO CENTRAL","nr003","Vicepresidente Banco Central",2015-06-03,2015-06-03,"Presentación IPoM en Senado - ",20677,"   BANCO CENTRAL DE CHILE - "
"nr003322","Washington D.C., ESTADOS UNIDOS. ","Enrique Marshall Rivera","NR0030058185434-19","BANCO CENTRAL","nr003","Vicepresidente Banco Central",2015-06-03,2015-06-10,"Conferencia y Reuniones FRB/ IMF/ WB  - ",5465334,"   BANCO CENTRAL DE CHILE - "
"ab0471029872","YERBAS BUENAS Y TALCA","CLAUDIA LORETTO ARAVENA LAGOS","AB0475002","GOBERNACIÓN PROVINCIAL DE LINARES","ab047","Gobernador(a)",2015-05-08,2015-05-08,"CEREMONIA INAUGURACION SALA CUNA Y JARDIN INFANTIL CARITA DE LUNA POSTERIORMENTE ASISTE A REUNION COMITE OPERATIVO DE EMERGENCIA REGIONAL (COE) - ",30682,"   GOBERNACION LINARES - "
"ab0581700132","Cochamo","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-19,2015-06-19,"Rio Puelo: reunión con comité Riego Volcánico volcán Yates. Reunión con comunidad de Llaguepe y Yates. - ",30682,"   Gobernación Provincial de Llanquihue - "
"ab0581700172","PUERTO VARAS","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-23,2015-06-23,"CEREMONIA CUENTA PUBLICA PDI PUERTO VARAS - ",0,"   S/I - "
"ab0581700232","LOS MUERMOS-FRESIA","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-25,2015-06-25,"LOS MUERMOS: ASISTIR A G.E.T , FRESIA ENTREGA DE BONOS POR DEFICIT HIDRICO A PEQUEÑOS AGRICULTORES, SECTOR LA ARAÑA, ACTIVIDAD SEREMI DE TRANSPORTE Y TELECOMUNICACIONES, CONECTAR INTERNET A ESCUELA DEL SECTOR - ",30682,"   GOBERNACION PROVINCIAL DE LLANQUIHUE - "
"ab0581700302","CALBUCO","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-26,2015-06-26,"REUNIÓN CON LA COMUNIDAD DE CAI CAEN POR ASFALTO DEL SECTOR - ",0,"   S/I - "
"ab0581700392","MAULLIN","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-18,2015-06-18,"ENTREGA AYUDA SOCIAL A FAMILIA OLMOPULLI , ENTREGA DE BONOS DE SEQUÍA SECTOR OLMOPULLI - ",30682,"   GOBERNACION PROVINCIAL DE LLANQUIHUE - "
"ab0581700632","LLANQUIHUE","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-04,2015-06-04,"VISITA CUARTEL DE CARABINEROS DE LLANQUIHUE, VISITA JEFE DE DIVISIÓN DE CARABINEROS - ",0,"   S/I - "
"ab0581700662","OSORNO","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-05,2015-06-05,"ASISTE A PRIMER ENCUENTRO REGIONAL DE SEGURIDAD PUBLICA EN OSORNO - ",30682,"   GOBERNACIÓN PROVINCIAL DE LLANQUUIHUE - "
"ab0581700692","FRESIA","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-09,2015-06-09,"ENTREGA DE AYUDA DE EMERGENCIA POR INUNDACIONES SECTOR PEUCHEN ESPERANZA COMUNA DE FRESIA - ",30682,"   GOBERNACION PROVINCIAL DE LLANQUIHUE - "
"ab0581700712","PUERTO VARAS -ENSENADA","JUAN CARLOS  GALLARDO GALLARDO","AB0584696","GOBERNACIÓN PROVINCIAL DE LLANQUIHUE","ab058","Gobernador(a)",2015-06-12,2015-06-12,"ENTREGA DE GIFCARD RECUPERACIÓN DE VIVIENDAS EN ENSENADA - ",30682,"   GOBERNACION PROVINCIAL DE LLANQUIHUE - "
