"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"ao0181543222","Antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-01-07,2015-01-07,"Reunión COLDAS - ",20231,"   Servicio salud Antofagasta - "
"ao0181543942","antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-01-22,2015-01-23,"Reunión DSSA - ",70809,"   Servicio salud Antofagasta - "
"ao0181543982","Antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-02-16,2015-02-16,"Reunión Director Servicio - ",20231,"   Servicio Salud Antofagasta - "
"ao0181544042","Antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-03-02,2015-03-02,"Reunión CIRA y COLDAS - ",20231,"   Servicio salud Antofagasta - "
"ao0181544102","Antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-03-18,2015-03-19,"Reunion COLDAS - ",70809,"   Servicio Salud Antofagasta - "
"ao0181544202","Antofagasta","Erica Del Carmen Del Piano Calderón","AO01877856","SERVICIO DE SALUD ANTOFAGASTA","ao018","Director(a), Hospital Marcos Macuada de Tocopilla.",2015-03-26,2015-03-27,"Reunión GES - ",70809,"   Servicio salud Antofagasta - "
"au0021400342","La Serena, Región de Coquimbo","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-01-02,2015-01-02,"Visita a terreno - ",40827,"   Subsecretaría de Energía - "
"au0021400362","Valparaíso, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-01-06,2015-01-06,"Participación en Congreso Sala Cámara 3er Tramite Licitaciones - ",40827,"   Subsecretaría de Energía - "
"au0021400382","San Felipe, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-01-13,2015-01-14,"Tercer Taller de Trabajo Comité Consultivo Energía 2050 - ",102068,"   Subsecretaría de Energía - "
"au0021400392","Valparaíso, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-01-21,2015-01-21,"Participación en Comisión de Minería y Energía del Congreso - ",40827,"   Subsecretaría de Energía - "
"au0021400402","Valparaíso, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-04,2015-03-04,"Participación en Comisión de Minería y Energía del Congreso - ",40827,"   Subsecretaría de Energía - "
"au0021400422","Valparaíso, Región de Valparaíso","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-11,2015-03-11,"Comisión de Hacienda del Congreso - ",40827,"   Subsecretaría de Energía - "
"au0021400442","Antofagasta, Región de Antofagasta","Maximo Jorge Pacheco Matte","AU002421","SUBSECRETARIA DE ENERGÍA","au002","Ministro(a)",2015-03-16,2015-03-16,"Visita a terreno Antofagasta - ",40827,"   Subsecretaría de Energía - "
