"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"ac0011397602","Ciudad de Castelo Branco, Portugal","German Guerrero Pavez","AC001721","SUBSECRETARÍA DE RELACIONES EXTERIORES","ac001","Embajador de Chile en Portugal",2014-11-28,2014-11-28,"Seminario Oportunidades de Negocios en América Latina - ",0,"   Alcaldía de Castelo Branco  IPDAL e Instituto Politécnico de Castelo Branco - "
"ac0011480272","Évora, Portugal","German Guerrero Pavez","AC001721","SUBSECRETARÍA DE RELACIONES EXTERIORES","ac001","Embajador de Chile en Portugal",2014-12-05,2014-12-05,"Reunión con Alcalde Évora - ",50000,"   Embajada de Chile - "
"ac0011922","PUNTA ARENAS, CHILE","Heraldo Muñoz Valenzuela","AC001497","SUBSECRETARÍA DE RELACIONES EXTERIORES","ac001","Ministro de Relaciones Exteriores",2014-12-16,2014-12-16,"REUNIÓN CONSEJO POLITICA ANTARTICA - ",40827,"   MINISTERIO DE RELACIONES EXTERIORES - "
"aj0101263152","Santiago","Sandra Flores Contreras","AJ0103749","JUNTA NACIONAL DE JARDINES INFANTILES (JUNJI)","aj010","Directora Regional de Arica y Parinacota",2014-12-02,2014-12-03,"Seminario Internacional ""Equidad y Calidad, Los desafíos de la Educación Parvularia del siglo XXI"". Resolución Exenta15-3531 - ",370805,"   JUNJI - "
"ao0011044942","Olmué","Mauricio Gomez Chamorro","AO00115687","SUBSECRETARÍA DE SALUD PÚBLICA ","ao001","Jefe Departamento de Salud Mental - DIPRECE SSP",2014-12-15,2014-12-15,"Jornada Anual de Evaluación 2014 y Planificación 2015 del Depto. de Salud Mental. - ",0,"   Subsecretaría de Salud Pública - "
"ao0011048482","Aysén","Mauricio Gomez Chamorro","AO00115687","SUBSECRETARÍA DE SALUD PÚBLICA ","ao001","Jefe Departamento de Salud Mental - DIPRECE SSP",2014-12-10,2014-12-12,"Coordinación evento de telepsiquiatría en depresión adolescente de la región de Aysén. - ",121387,"   Subsecretaría de Salud Pública - "
"mu1872818382","LAGO OHIGGINS","Lorena Molina Mansilla","MU18723545","MUNICIPALIDAD DE O'HIGGINS","mu187","Concejala",2014-11-28,2014-11-29,"REUNION JJVV LAGO OHIGGINS, GOBIERNO EN TERRENO SECTOR ISLA CENTRAL - ",66799,"   ILUSTRE MUNICIPALIDAD OHIGGINS - "
"ao0253449752","error","Juan Ramón Alvarado Maldonado","AO02530939","SERVICIO DE SALUD MAULE","ao025","Jefe de Inversiones",2014-11-28,2014-11-28,"error - ",0,"   S/I - "
"ao0253453962","error","Patricio Fernando Orellana Pinto","AO02577187","SERVICIO DE SALUD MAULE","ao025","Jefe Departamento de Recursos Físicos",2014-11-28,2014-11-28,"error - ",0,"   S/I - "
"ad022482","Perú","Jorge Alfonso Burgos Varela","AD02260","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro(a)",2014-12-21,2014-12-22,"Botadura del B.E. ""Unión"" (Perú) - ",311305,"   Subsecretaría para las Fuerzas Armadas - "
"ad02252","Coquimbo","Jorge Alfonso Burgos Varela","AD02260","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro(a)",2014-12-05,2014-12-05,"Lanzamiento consulta ciudadana del Nuevo Reglamento de Concesiones Marítimas - ",0,"   SSFFAA - "
"ad022732","Punta Arenas","Jorge Alfonso Burgos Varela","AD02260","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro(a)",2014-12-16,2014-12-16,"Consejo Política Antartica - ",0,"   Subsecretaría para las Fuerzas Armadas - "
"am0011492","Montevideo,Uruguay","Sergio Galilea Ocon","AM001210","SUBSECRETARÍA DE OBRAS PÚBLICAS","am001","Subsecretario de Obras Públicas",2014-11-30,2014-12-05,"Reuniones con Autoridades del Ministerio de Transportes y Obras Públicas del Uruguay, Participar XXV Reunión de COSIPLAN e IIRSA; En la V Reunión Ordinaria de Ministros COSIPLAN y en la II Reunión del Grupo de Trabajo Infraestructura para Integración física del Transporte, las Telecomunicaciones y la Integración    Fronteriza. - .CELAC. - ",2809400,"   Ministerio de Obras Públicas, Subsecretarria -     Ministerio de Obras Públicas, Subsecretaria -     Ministerio de Obras Publicas, Subsecretaria - "
"ao001132","ANTOFAGASTA","Helia Molina Milman","AO001632","SUBSECRETARÍA DE SALUD PÚBLICA ","ao001","Ministra",2014-11-26,2014-11-28,"Agenda Ministra de Salud  Antofagasta Nº Vuelo                                                     salida                               fecha               hora salida             hora llegada LA 322 Operado por     A. MERINO BENITEZ      26-NOV-14                 18:20               20:20 LAN AIRLINES         26 noviembre 21:00  Cena. Participa Intendente, Seremi, Director Servicio Salud, parlamentarios. Hasta el momento se han excusado los parlamentarios.   27 noviembre  08:00 - 09:00  Reunión Equipo Directivo Salud Región Antofagasta  (Seremi Salud y Director Servicio Salud). Lugar: Servicio Salud. Bolivar # 523.  09:00 - 09:30  Visita Laboratorio Regional - SEREMI. Anuncios Agenda Medio Ambiental. Bolivar # 523. Directivos del servicio de salud, SEREMI, gremios de la salud, representantes colegios profesionales 09:45 - 10:30  Visita y bendición ecuménica obras realizadas en Unidad de Urgencias, Hospital Regional Antofagasta. Invitados: Representante Iglesia Católica e Iglesia Evangélica, Concejo Consultivo HRA, Parlamentarios, CORE Salud, gremios de la salud, representantes colegios profesionales 11:00 - 11:45  Punto Prensa Inversión en Salud Región de Antofagasta (Salud Pública y Redes Asistenciales) y Recorrido obras Hospital Concesionado Antofagasta. Representante Iglesia Católica e Iglesia Evangélica, Concejo Consultivo HRA, Parlamentarios, CORE Salud, Consejo Asesor Seremi y JJVV. Gremios de la salud, representantes colegios profesionales.    12:15 - 13:00  Recorrido obras y bendición ecuménica CESFAM Maria Cristina Rojas. Invitados: Representante Iglesia Católica e Iglesia Evangélica, Concejo Consultivo HRA, Parlamentarios, CORE Salud, Concejo Asesor Seremi, Comunidad, Alcaldesa Antofagasta. Gremios de la salud, representantes colegios profesionales 13:30 - 15:00  Almuerzo con alcaldes de la región, Intendente, Seremi y Director Servicio de Salud. Lugar: Hotel Diego de Almagro.  15:30 - 16:00  Inauguración Foro Regional de Salud. Lugar: Sala Ossa, Intendencia Antofagasta. Tema: Prevención de Cáncer en la Mujer. Convocados: 22 actores de institucionalidad pública, sociedad civil, CORES, Universidades, entre otros. 16:00 - 16:15  Punto de prensa Foro Regional de Salud 16:30 – 16:50  Entrevista Mercurio Antofagasta 17:00 – 17:40  Entrevista TVN red Antofagasta  18:00 – 18:20  Entrevista  Radio Madero (cobertura regional) (telefónica) 18:30 - 19:30  Reunión de trabajo con Intendente, Sector Salud y CORES. Lugar: Sala CORE – Intendencia.  28 de Noviembre  08:30 – 09:30 Desayuno con representantes de los gremios de la salud (APS – Hospitales –              SEREMI – Colegios profesionales).Ministra de salud -  Seremi de salud y equipo directivo del Servicio de salud.   10:00 – 10:30  Actividad Difusión VPH. Lugar: Auditorio Biblioteca Regional. Convocados: Centros de Padres y Apoderados, Sostenedores, Directores, Profesores, Seremi Educación. 10:45 – 11:00  Reunión representantes organización “Este Polvo Te mata “Lugar – Biblioteca regional – Ministra de salud, Seremi de Salud – Intendente Regional 11:15 – 11:45 Visita Centro de Rehabilitación Teletón Antofagasta. Ministra de salud – Intendente – Director de servicio de salud. 12:30 horas    Salida desde aeropuerto Cerro Moreno    Nº Vuelo                                                     salida                               fecha               hora salida            hora llegada                       Santiago LA 165 Operado por LAN AIRLINES       CERRO MORENO              28-NOV-14            13:15          15:05 - ",694203,"   MINISTERIO DE SALUD - "
"ap001112","Valparaiso","Paulina Saball Astaburuaga","AP001248","SUBSECRETARIA DE VIVIENDA Y URBANISMO","ap001","Ministro(a)",2014-11-28,2014-11-28,"Entrega de subsidios reconstrucción Valpo - ",38516,"   Ministerio de Vivienda y Urbanismo - "
